country,Source id,target id,Type,id,r,sign,Source label,Target label
france,n0,n1,Undirected,0,0.431563705,positive,trstlgl,trstplc
france,n0,n2,Undirected,1,0.314998597,positive,trstlgl,trstplt
france,n0,n3,Undirected,2,0.030769892,positive,trstlgl,ccrdprs
france,n0,n4,Undirected,3,0.020332577,negative,trstlgl,gincdif
france,n0,n5,Undirected,4,0.130686864,negative,trstlgl,lrscale
france,n0,n6,Undirected,5,0.193397686,positive,trstlgl,imwbcnt
france,n1,n2,Undirected,6,0.207969829,positive,trstplc,trstplt
france,n1,n3,Undirected,7,0.072787307,positive,trstplc,ccrdprs
france,n1,n4,Undirected,8,0.016327631,negative,trstplc,gincdif
france,n1,n5,Undirected,9,0.185682103,positive,trstplc,lrscale
france,n1,n6,Undirected,10,0.105797559,negative,trstplc,imwbcnt
france,n2,n3,Undirected,11,0.018360931,positive,trstplt,ccrdprs
france,n2,n4,Undirected,12,0.030461516,negative,trstplt,gincdif
france,n2,n5,Undirected,13,0.037792157,positive,trstplt,lrscale
france,n2,n6,Undirected,14,0.087233886,positive,trstplt,imwbcnt
france,n2,n7,Undirected,15,0.077323154,positive,trstplt,rlgdgr
france,n3,n4,Undirected,16,0.041362748,positive,ccrdprs,gincdif
france,n3,n6,Undirected,17,0.161026165,positive,ccrdprs,imwbcnt
france,n3,n7,Undirected,18,0.012315732,positive,ccrdprs,rlgdgr
france,n4,n5,Undirected,19,0.204023153,negative,gincdif,lrscale
france,n4,n7,Undirected,20,0.008954016,positive,gincdif,rlgdgr
france,n5,n6,Undirected,21,0.233433187,negative,lrscale,imwbcnt
france,n5,n7,Undirected,22,0.123587638,positive,lrscale,rlgdgr
france,n6,n7,Undirected,23,0.053259276,positive,imwbcnt,rlgdgr
czech,n0,n1,Undirected,24,0.530436575,positive,trstlgl,trstplc
czech,n0,n2,Undirected,25,0.323523462,positive,trstlgl,trstplt
czech,n0,n3,Undirected,26,0.016769098,negative,trstlgl,ccrdprs
czech,n0,n5,Undirected,27,0.020562358,positive,trstlgl,lrscale
czech,n0,n6,Undirected,28,0.091203079,positive,trstlgl,imwbcnt
czech,n1,n2,Undirected,29,0.188193366,positive,trstplc,trstplt
czech,n1,n3,Undirected,30,0.055088166,negative,trstplc,ccrdprs
czech,n1,n4,Undirected,31,0.029298408,positive,trstplc,gincdif
czech,n1,n7,Undirected,32,0.042039122,negative,trstplc,rlgdgr
czech,n2,n3,Undirected,33,0.08360704,positive,trstplt,ccrdprs
czech,n2,n5,Undirected,34,0.002909252,positive,trstplt,lrscale
czech,n2,n6,Undirected,35,0.203498542,positive,trstplt,imwbcnt
czech,n2,n7,Undirected,36,0.0596506,positive,trstplt,rlgdgr
czech,n3,n4,Undirected,37,0.071684524,negative,ccrdprs,gincdif
czech,n3,n5,Undirected,38,0.026214533,positive,ccrdprs,lrscale
czech,n3,n6,Undirected,39,0.24797371,positive,ccrdprs,imwbcnt
czech,n3,n7,Undirected,40,0.16552195,positive,ccrdprs,rlgdgr
czech,n4,n5,Undirected,41,0.222646028,negative,gincdif,lrscale
czech,n4,n6,Undirected,42,0.10692174,negative,gincdif,imwbcnt
czech,n4,n7,Undirected,43,0.021205749,positive,gincdif,rlgdgr
czech,n5,n6,Undirected,44,0.118351884,positive,lrscale,imwbcnt
czech,n6,n7,Undirected,45,0.06913323,positive,imwbcnt,rlgdgr
hungary,n0,n1,Undirected,46,0.520904064,positive,trstlgl,trstplc
hungary,n0,n2,Undirected,47,0.413084835,positive,trstlgl,trstplt
hungary,n0,n3,Undirected,48,0.079854831,positive,trstlgl,trstsci
hungary,n0,n6,Undirected,49,0.143896401,positive,trstlgl,lrscale
hungary,n0,n7,Undirected,50,0.015763581,positive,trstlgl,imwbcnt
hungary,n0,n8,Undirected,51,0.014670677,positive,trstlgl,rlgdgr
hungary,n1,n2,Undirected,52,0.045889452,positive,trstplc,trstplt
hungary,n1,n3,Undirected,53,0.309605658,positive,trstplc,trstsci
hungary,n1,n7,Undirected,54,0.002147011,positive,trstplc,imwbcnt
hungary,n1,n8,Undirected,55,0.015100465,positive,trstplc,rlgdgr
hungary,n2,n3,Undirected,56,0.041993443,positive,trstplt,trstsci
hungary,n2,n4,Undirected,57,0.072680682,positive,trstplt,ccrdprs
hungary,n2,n5,Undirected,58,0.154559717,negative,trstplt,gincdif
hungary,n2,n6,Undirected,59,0.14263007,positive,trstplt,lrscale
hungary,n2,n7,Undirected,60,0.062010445,positive,trstplt,imwbcnt
hungary,n2,n8,Undirected,61,0.077456743,positive,trstplt,rlgdgr
hungary,n3,n4,Undirected,62,0.022678362,negative,trstsci,ccrdprs
hungary,n3,n5,Undirected,63,0.038886789,positive,trstsci,gincdif
hungary,n3,n7,Undirected,64,0.02880938,positive,trstsci,imwbcnt
hungary,n3,n8,Undirected,65,0.037244543,positive,trstsci,rlgdgr
hungary,n4,n7,Undirected,66,0.092537656,positive,ccrdprs,imwbcnt
hungary,n5,n6,Undirected,67,0.060118444,negative,gincdif,lrscale
hungary,n5,n7,Undirected,68,0.127947077,negative,gincdif,imwbcnt
hungary,n5,n8,Undirected,69,0.018411027,negative,gincdif,rlgdgr
hungary,n6,n7,Undirected,70,0.138375446,negative,lrscale,imwbcnt
hungary,n6,n8,Undirected,71,0.015045016,positive,lrscale,rlgdgr
gb,n0,n1,Undirected,72,0.447082728,positive,trstlgl,trstplc
gb,n0,n2,Undirected,73,0.302612901,positive,trstlgl,trstplt
gb,n0,n3,Undirected,74,0.153505147,positive,trstlgl,trstsci
gb,n0,n7,Undirected,75,0.123110957,positive,trstlgl,imwbcnt
gb,n1,n2,Undirected,76,0.125133008,positive,trstplc,trstplt
gb,n1,n3,Undirected,77,0.187053606,positive,trstplc,trstsci
gb,n1,n4,Undirected,78,0.03113945,positive,trstplc,ccrdprs
gb,n1,n6,Undirected,79,0.027264969,positive,trstplc,lrscale
gb,n1,n8,Undirected,80,0.044429846,positive,trstplc,rlgdgr
gb,n2,n3,Undirected,81,0.074327096,positive,trstplt,trstsci
gb,n2,n4,Undirected,82,0.039948415,positive,trstplt,ccrdprs
gb,n2,n5,Undirected,83,0.010291701,negative,trstplt,gincdif
gb,n2,n6,Undirected,84,0.173616379,positive,trstplt,lrscale
gb,n2,n7,Undirected,85,0.025930369,positive,trstplt,imwbcnt
gb,n2,n8,Undirected,86,0.12357185,positive,trstplt,rlgdgr
gb,n3,n4,Undirected,87,0.115955405,positive,trstsci,ccrdprs
gb,n3,n6,Undirected,88,0.016020313,negative,trstsci,lrscale
gb,n3,n7,Undirected,89,0.156697065,positive,trstsci,imwbcnt
gb,n3,n8,Undirected,90,0.078179002,negative,trstsci,rlgdgr
gb,n4,n5,Undirected,91,0.054913603,positive,ccrdprs,gincdif
gb,n4,n7,Undirected,92,0.154979169,positive,ccrdprs,imwbcnt
gb,n4,n8,Undirected,93,0.034200713,positive,ccrdprs,rlgdgr
gb,n5,n6,Undirected,94,0.216306627,negative,gincdif,lrscale
gb,n5,n7,Undirected,95,0.06226458,positive,gincdif,imwbcnt
gb,n6,n7,Undirected,96,0.306698442,negative,lrscale,imwbcnt
gb,n6,n8,Undirected,97,0.066879399,positive,lrscale,rlgdgr
finland,n0,n1,Undirected,98,0.432056248,positive,trstlgl,trstplc
finland,n0,n2,Undirected,99,0.338543415,positive,trstlgl,trstplt
finland,n0,n3,Undirected,100,0.188127041,positive,trstlgl,trstsci
finland,n0,n4,Undirected,101,0.030218145,positive,trstlgl,ccrdprs
finland,n0,n5,Undirected,102,0.063210301,negative,trstlgl,gincdif
finland,n0,n7,Undirected,103,0.108636767,positive,trstlgl,imwbcnt
finland,n1,n2,Undirected,104,0.016330952,positive,trstplc,trstplt
finland,n1,n3,Undirected,105,0.146459594,positive,trstplc,trstsci
finland,n1,n6,Undirected,106,0.126450688,positive,trstplc,lrscale
finland,n1,n7,Undirected,107,0.04170033,negative,trstplc,imwbcnt
finland,n1,n8,Undirected,108,0.047290713,positive,trstplc,rlgdgr
finland,n2,n3,Undirected,109,0.192246497,positive,trstplt,trstsci
finland,n2,n4,Undirected,110,0.070506342,positive,trstplt,ccrdprs
finland,n2,n6,Undirected,111,0.006158984,positive,trstplt,lrscale
finland,n2,n7,Undirected,112,0.13843897,positive,trstplt,imwbcnt
finland,n2,n8,Undirected,113,0.023798013,positive,trstplt,rlgdgr
finland,n3,n4,Undirected,114,0.081365146,positive,trstsci,ccrdprs
finland,n3,n6,Undirected,115,0.028131261,negative,trstsci,lrscale
finland,n3,n7,Undirected,116,0.113765687,positive,trstsci,imwbcnt
finland,n4,n5,Undirected,117,0.019694326,positive,ccrdprs,gincdif
finland,n4,n7,Undirected,118,0.202355891,positive,ccrdprs,imwbcnt
finland,n5,n6,Undirected,119,0.315594107,negative,gincdif,lrscale
finland,n5,n8,Undirected,120,0.105698004,positive,gincdif,rlgdgr
finland,n6,n7,Undirected,121,0.122100212,negative,lrscale,imwbcnt
finland,n6,n8,Undirected,122,0.207498431,positive,lrscale,rlgdgr
netherlands,n0,n1,Undirected,123,0.272445053,positive,trstlgl,trstplc
netherlands,n0,n2,Undirected,124,0.317781568,positive,trstlgl,trstplt
netherlands,n0,n3,Undirected,125,0.285614312,positive,trstlgl,trstsci
netherlands,n0,n4,Undirected,126,0.06106098,positive,trstlgl,ccrdprs
netherlands,n0,n7,Undirected,127,0.111842617,positive,trstlgl,imwbcnt
