country,id,label,interval,name,degree,weighted_degree,betweenness,closeness,eigenvector,modularityclass,clusteringcoefficient,
italy,n0,Trust in Legal System,,trstlgl,6,1.251510893,0,1.422164738,1,1,0.8,Trust in Legal System
italy,n1,Trust in Police,,trstplc,7,1.146517671,0,1.832173144,0.868343401,2,0.714285714,Trust in Police
italy,n2,Trust in Politicians,,trstplt,6,0.830883612,0,1.771123203,0.722250557,1,0.866666667,Trust in Politicians
italy,n3,Trust in Scientists,,trstsci,5,0.674894413,0,1.370810429,0.574538519,2,0.8,Trust in Scientists
italy,n4,Personal Responsibility (Climate),,ccrdprs,7,0.562867928,7,2.552047496,0.322350833,3,0.761904762,Personal Responsibility (Climate)
italy,n5,Gov. Reduce Income Differences,,gincdif,7,0.519575274,3,2.658185573,0.307928299,3,0.714285714,Gov. Reduce Income Differences
italy,n6,Left-Right Scale,,lrscale,7,0.763345679,0,1.753347612,0.546909942,1,0.80952381,Left-Right Scale
italy,n7,Immigrants: Country Better/Worse,,imwbcnt,8,0.637112765,11,2.924703928,0.447152427,1,0.75,Immigrants: Country Better/Worse
italy,n8,Degree of Religiousness,,rlgdgr,5,0.284688039,8,2.81539733,0.216325872,2,0.9,Degree of Religiousness
greece,n0,Trust in Legal System,,trstlgl,4,1.07975279,0,1.663384442,0.976531782,1,1,Trust in Legal System
greece,n1,Trust in Police,,trstplc,8,1.265770302,0,2.671740284,1,1,0.714285714,Trust in Police
greece,n2,Trust in Politicians,,trstplt,6,0.659048345,0,3.038221305,0.40970179,2,0.866666667,Trust in Politicians
greece,n3,Trust in Scientists,,trstsci,7,0.683280872,16,3.998552974,0.636041114,1,0.80952381,Trust in Scientists
greece,n4,Personal Responsibility (Climate),,ccrdprs,7,0.490661564,8,3.314837938,0.307563107,2,0.80952381,Personal Responsibility (Climate)
greece,n5,Gov. Reduce Income Differences,,gincdif,5,0.327277113,2,2.907464679,0.167582183,2,1,Gov. Reduce Income Differences
greece,n6,Left-Right Scale,,lrscale,7,0.701426693,8,3.736475284,0.322273611,2,0.80952381,Left-Right Scale
greece,n7,Immigrants: Country Better/Worse,,imwbcnt,8,0.806469917,10,3.607067513,0.324777888,2,0.714285714,Immigrants: Country Better/Worse
greece,n8,Degree of Religiousness,,rlgdgr,4,0.49734235,0,1.765287581,0.260333849,2,1,Degree of Religiousness
