name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10038,1,BE,2,7,,,8,5,7.5,3,9,7
ESS10e03_3,02.12.2025,10053,1,BE,2,5,5,3,4,5,5.0,5,5,4
ESS10e03_3,02.12.2025,10055,5,BE,1,8,8,6,9,8,5.0,5,5,0
ESS10e03_3,02.12.2025,10062,3,BE,1,10,10,8,8,,,5,8,5
ESS10e03_3,02.12.2025,10064,5,BE,1,7,8,7,9,9,7.5,4,6,1
ESS10e03_3,02.12.2025,10077,4,BE,2,5,4,4,6,6,5.0,5,5,1
ESS10e03_3,02.12.2025,10079,6,BE,2,0,5,0,5,10,7.5,,2,1
ESS10e03_3,02.12.2025,10088,4,BE,1,5,7,3,7,5,7.5,6,5,6
ESS10e03_3,02.12.2025,10089,1,BE,1,9,8,7,7,8,7.5,6,5,1
ESS10e03_3,02.12.2025,10104,7,BE,1,5,3,8,9,7,7.5,2,5,9
ESS10e03_3,02.12.2025,10107,2,BE,1,0,0,2,5,7,2.5,1,1,8
ESS10e03_3,02.12.2025,10112,5,BE,1,5,5,2,9,9,10.0,2,9,0
ESS10e03_3,02.12.2025,10133,1,BE,2,7,7,4,8,6,7.5,4,5,6
ESS10e03_3,02.12.2025,10145,5,BE,1,5,8,7,9,8,5.0,6,5,5
ESS10e03_3,02.12.2025,10156,1,BE,1,9,8,7,10,7,7.5,6,8,9
ESS10e03_3,02.12.2025,10176,1,BE,1,8,7,6,9,6,5.0,6,7,7
ESS10e03_3,02.12.2025,10213,7,BE,1,3,4,3,8,0,0.0,7,7,5
ESS10e03_3,02.12.2025,10220,3,BE,1,6,6,5,5,5,7.5,5,4,7
ESS10e03_3,02.12.2025,10249,2,BE,2,8,8,7,10,8,7.5,1,5,0
ESS10e03_3,02.12.2025,10271,1,BE,1,5,5,4,6,7,7.5,5,6,6
ESS10e03_3,02.12.2025,10283,2,BE,1,5,4,0,9,6,2.5,5,7,0
ESS10e03_3,02.12.2025,10288,5,BE,1,5,10,5,8,6,10.0,,5,10
ESS10e03_3,02.12.2025,10295,4,BE,2,6,7,3,8,8,7.5,2,8,0
ESS10e03_3,02.12.2025,10297,4,BE,1,7,8,5,8,3,10.0,5,3,6
ESS10e03_3,02.12.2025,10302,7,BE,2,6,6,5,7,7,5.0,8,6,8
ESS10e03_3,02.12.2025,10334,4,BE,2,6,8,8,9,9,7.5,5,3,8
ESS10e03_3,02.12.2025,10393,5,BE,2,8,8,6,8,7,10.0,5,5,7
ESS10e03_3,02.12.2025,10394,1,BE,2,5,6,5,6,5,5.0,5,5,0
ESS10e03_3,02.12.2025,10398,3,BE,2,7,8,2,7,7,10.0,5,6,1
ESS10e03_3,02.12.2025,10401,5,BE,1,5,6,4,7,10,7.5,4,7,9
ESS10e03_3,02.12.2025,10402,1,BE,1,7,8,6,9,10,7.5,5,6,3
ESS10e03_3,02.12.2025,10422,7,BE,1,7,7,7,8,5,7.5,10,7,0
ESS10e03_3,02.12.2025,10439,2,BE,2,6,5,5,8,8,2.5,7,6,6
ESS10e03_3,02.12.2025,10442,4,BE,1,7,8,5,8,6,7.5,7,5,0
ESS10e03_3,02.12.2025,10445,3,BE,2,3,4,3,5,10,7.5,5,10,10
ESS10e03_3,02.12.2025,10460,3,BE,2,7,9,5,9,8,10.0,6,1,2
ESS10e03_3,02.12.2025,10465,5,BE,1,7,8,7,9,7,7.5,5,7,7
ESS10e03_3,02.12.2025,10466,4,BE,2,5,9,4,8,4,7.5,,8,8
ESS10e03_3,02.12.2025,10470,3,BE,2,8,8,8,8,8,10.0,5,6,0
ESS10e03_3,02.12.2025,10478,6,BE,1,1,4,0,0,0,7.5,1,7,7
ESS10e03_3,02.12.2025,10484,2,BE,2,7,6,6,8,9,7.5,4,7,5
ESS10e03_3,02.12.2025,10494,7,BE,2,5,7,5,5,7,2.5,5,5,10
ESS10e03_3,02.12.2025,10516,4,BE,1,5,5,3,6,10,10.0,5,5,5
ESS10e03_3,02.12.2025,10526,6,BE,1,9,8,6,9,5,10.0,5,5,0
ESS10e03_3,02.12.2025,10557,2,BE,1,7,7,4,8,10,2.5,5,3,2
ESS10e03_3,02.12.2025,10558,7,BE,2,5,5,0,2,,7.5,,0,5
ESS10e03_3,02.12.2025,10567,3,BE,1,5,8,4,9,10,2.5,7,5,3
ESS10e03_3,02.12.2025,10598,5,BE,1,4,8,6,9,5,7.5,5,6,5
