name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10003,1,FI,2,5,5,5,7,5,7.5,5,6,0
ESS10e03_3,02.12.2025,10004,7,FI,1,8,8,3,8,9,7.5,4,8,8
ESS10e03_3,02.12.2025,10017,2,FI,2,5,9,2,8,9,7.5,6,5,0
ESS10e03_3,02.12.2025,10018,7,FI,2,8,9,6,7,0,7.5,7,6,7
ESS10e03_3,02.12.2025,10044,2,FI,2,9,9,6,6,10,7.5,5,10,10
ESS10e03_3,02.12.2025,10048,6,FI,2,9,8,7,9,7,5.0,3,8,2
ESS10e03_3,02.12.2025,10053,5,FI,1,7,8,0,4,0,7.5,10,2,2
ESS10e03_3,02.12.2025,10055,1,FI,1,8,9,3,7,3,2.5,5,5,9
ESS10e03_3,02.12.2025,10059,5,FI,1,7,8,3,8,9,2.5,5,7,3
ESS10e03_3,02.12.2025,10072,5,FI,2,9,9,7,7,8,7.5,7,9,6
ESS10e03_3,02.12.2025,10077,6,FI,1,8,8,7,8,8,7.5,5,3,5
ESS10e03_3,02.12.2025,10104,5,FI,1,8,8,5,8,7,7.5,6,5,2
ESS10e03_3,02.12.2025,10107,6,FI,1,8,8,6,8,7,7.5,6,5,5
ESS10e03_3,02.12.2025,10112,4,FI,1,5,9,6,7,9,10.0,5,3,8
ESS10e03_3,02.12.2025,10114,4,FI,1,4,8,1,7,10,10.0,5,10,0
ESS10e03_3,02.12.2025,10141,7,FI,2,9,10,8,10,7,7.5,7,8,9
ESS10e03_3,02.12.2025,10180,7,FI,1,8,10,5,7,,7.5,3,5,3
ESS10e03_3,02.12.2025,10183,2,FI,1,9,9,7,10,10,7.5,8,10,9
ESS10e03_3,02.12.2025,10185,1,FI,2,6,6,5,7,6,7.5,,6,0
ESS10e03_3,02.12.2025,10186,6,FI,2,8,9,2,9,10,7.5,3,8,6
ESS10e03_3,02.12.2025,10219,7,FI,2,7,9,8,9,5,7.5,3,8,5
ESS10e03_3,02.12.2025,10230,4,FI,2,9,10,7,10,8,7.5,4,7,5
ESS10e03_3,02.12.2025,10245,4,FI,2,6,8,4,8,2,2.5,7,4,4
ESS10e03_3,02.12.2025,10262,1,FI,1,8,10,0,8,5,7.5,5,5,1
ESS10e03_3,02.12.2025,10268,6,FI,2,7,9,6,8,7,7.5,6,7,5
ESS10e03_3,02.12.2025,10271,5,FI,1,0,8,0,8,8,10.0,5,5,7
ESS10e03_3,02.12.2025,10279,7,FI,2,8,9,6,8,7,5.0,6,7,6
ESS10e03_3,02.12.2025,10283,3,FI,2,9,8,8,9,9,10.0,0,6,0
ESS10e03_3,02.12.2025,10298,6,FI,1,8,10,5,9,6,10.0,6,4,8
ESS10e03_3,02.12.2025,10300,5,FI,2,10,10,8,6,8,5.0,4,8,5
ESS10e03_3,02.12.2025,10302,6,FI,2,8,7,7,8,8,5.0,5,7,8
ESS10e03_3,02.12.2025,10313,6,FI,2,7,9,7,9,8,7.5,9,4,3
