name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10004,4,GR,1,5,5,3,9,7,10.0,6,9,5
ESS10e03_3,02.12.2025,10006,5,GR,2,4,3,1,6,7,5.0,4,7,6
ESS10e03_3,02.12.2025,10014,5,GR,1,2,3,2,8,7,10.0,5,5,6
ESS10e03_3,02.12.2025,10018,3,GR,1,8,5,5,9,4,7.5,,6,0
ESS10e03_3,02.12.2025,10019,5,GR,2,7,5,3,6,3,10.0,5,7,8
ESS10e03_3,02.12.2025,10024,6,GR,2,9,8,8,8,6,2.5,6,9,10
ESS10e03_3,02.12.2025,10027,4,GR,1,8,10,5,8,8,,5,5,8
ESS10e03_3,02.12.2025,10039,6,GR,1,6,5,4,8,8,10.0,5,7,10
ESS10e03_3,02.12.2025,10052,4,GR,2,7,6,4,6,7,10.0,7,8,7
ESS10e03_3,02.12.2025,10053,7,GR,2,6,8,1,9,5,10.0,5,1,10
ESS10e03_3,02.12.2025,10061,4,GR,1,7,7,8,8,5,5.0,3,3,4
ESS10e03_3,02.12.2025,10068,6,GR,2,8,8,5,9,8,7.5,5,5,9
ESS10e03_3,02.12.2025,10072,5,GR,2,6,7,5,8,6,5.0,8,10,8
ESS10e03_3,02.12.2025,10075,99,GR,2,8,8,7,9,9,10.0,5,5,7
ESS10e03_3,02.12.2025,10076,6,GR,2,8,8,6,10,8,10.0,4,3,7
ESS10e03_3,02.12.2025,10079,4,GR,2,7,6,5,4,6,10.0,2,3,1
ESS10e03_3,02.12.2025,10081,7,GR,2,9,7,4,10,7,10.0,2,7,7
ESS10e03_3,02.12.2025,10083,1,GR,1,7,8,6,8,5,5.0,7,8,7
ESS10e03_3,02.12.2025,10094,1,GR,2,7,6,5,5,9,10.0,7,9,6
ESS10e03_3,02.12.2025,10100,3,GR,1,8,9,6,9,2,7.5,,5,5
ESS10e03_3,02.12.2025,10107,1,GR,2,2,5,3,2,4,2.5,,7,5
ESS10e03_3,02.12.2025,10108,3,GR,1,4,4,1,1,7,10.0,3,5,4
ESS10e03_3,02.12.2025,10112,3,GR,1,10,10,7,10,10,7.5,10,5,7
ESS10e03_3,02.12.2025,10116,4,GR,1,5,6,4,5,7,7.5,8,2,5
ESS10e03_3,02.12.2025,10120,2,GR,2,8,8,8,8,9,5.0,8,9,4
ESS10e03_3,02.12.2025,10130,4,GR,2,5,3,5,9,8,10.0,1,5,2
ESS10e03_3,02.12.2025,10134,5,GR,2,8,8,5,7,8,10.0,,2,8
ESS10e03_3,02.12.2025,10137,5,GR,1,7,8,4,8,5,10.0,3,3,6
ESS10e03_3,02.12.2025,10141,6,GR,2,6,7,4,8,7,7.5,8,10,8
ESS10e03_3,02.12.2025,10146,7,GR,1,5,7,2,5,2,,5,6,5
ESS10e03_3,02.12.2025,10149,6,GR,1,8,9,3,10,6,10.0,5,2,5
ESS10e03_3,02.12.2025,10168,5,GR,2,2,4,0,6,0,10.0,5,1,0
ESS10e03_3,02.12.2025,10176,4,GR,2,3,4,4,5,5,7.5,3,7,5
ESS10e03_3,02.12.2025,10180,6,GR,1,7,7,6,7,0,5.0,5,5,10
ESS10e03_3,02.12.2025,10185,7,GR,1,5,5,3,4,6,7.5,8,2,7
ESS10e03_3,02.12.2025,10187,3,GR,2,5,4,6,8,6,5.0,3,4,5
ESS10e03_3,02.12.2025,10193,4,GR,1,9,8,4,9,6,7.5,4,5,6
ESS10e03_3,02.12.2025,10212,6,GR,1,6,6,1,6,6,7.5,5,2,7
ESS10e03_3,02.12.2025,10219,3,GR,1,5,5,5,5,5,7.5,8,5,0
ESS10e03_3,02.12.2025,10225,5,GR,2,6,5,2,8,7,7.5,,5,6
ESS10e03_3,02.12.2025,10251,1,GR,2,8,5,5,8,8,10.0,3,3,6
ESS10e03_3,02.12.2025,10262,2,GR,1,8,9,0,10,7,7.5,5,5,7
ESS10e03_3,02.12.2025,10263,3,GR,2,4,4,1,5,5,5.0,3,5,6
ESS10e03_3,02.12.2025,10273,2,GR,2,6,7,5,6,5,5.0,2,5,5
ESS10e03_3,02.12.2025,10274,1,GR,1,5,6,4,6,7,10.0,3,6,6
ESS10e03_3,02.12.2025,10279,6,GR,1,7,8,10,5,1,2.5,7,3,6
ESS10e03_3,02.12.2025,10280,5,GR,2,4,5,0,8,8,7.5,4,2,7
ESS10e03_3,02.12.2025,10288,4,GR,2,6,6,2,7,1,5.0,3,4,3
ESS10e03_3,02.12.2025,10292,6,GR,1,7,6,4,9,6,7.5,5,3,5
ESS10e03_3,02.12.2025,10298,2,GR,2,9,6,4,8,8,10.0,5,4,3
ESS10e03_3,02.12.2025,10302,3,GR,1,3,4,3,4,6,7.5,8,2,6
ESS10e03_3,02.12.2025,10304,6,GR,2,6,7,3,,4,10.0,4,3,9
ESS10e03_3,02.12.2025,10312,1,GR,1,6,5,5,7,6,7.5,5,6,4
ESS10e03_3,02.12.2025,10313,6,GR,1,8,9,3,7,2,7.5,7,4,3
ESS10e03_3,02.12.2025,10322,6,GR,2,8,9,5,6,2,10.0,8,7,10
ESS10e03_3,02.12.2025,10328,2,GR,2,9,9,5,9,6,7.5,5,5,6
ESS10e03_3,02.12.2025,10331,5,GR,1,7,8,8,8,8,7.5,2,7,2
ESS10e03_3,02.12.2025,10333,7,GR,1,9,9,5,9,6,2.5,5,4,7
ESS10e03_3,02.12.2025,10334,5,GR,2,9,9,3,9,6,,5,8,7
ESS10e03_3,02.12.2025,10337,7,GR,1,7,6,3,9,4,10.0,6,0,8
ESS10e03_3,02.12.2025,10340,6,GR,1,8,5,2,7,5,10.0,7,1,8
ESS10e03_3,02.12.2025,10348,6,GR,2,7,7,6,7,8,10.0,4,4,7
ESS10e03_3,02.12.2025,10364,5,GR,2,5,6,3,5,4,7.5,3,6,5
ESS10e03_3,02.12.2025,10368,6,GR,2,6,6,5,9,,10.0,5,5,7
ESS10e03_3,02.12.2025,10369,5,GR,1,5,6,4,6,5,10.0,8,4,3
ESS10e03_3,02.12.2025,10372,7,GR,2,8,9,7,8,5,7.5,9,0,10
ESS10e03_3,02.12.2025,10380,5,GR,2,6,5,2,7,3,10.0,7,3,6
ESS10e03_3,02.12.2025,10393,3,GR,2,3,8,0,6,3,5.0,,0,6
ESS10e03_3,02.12.2025,10394,7,GR,2,10,10,2,9,,10.0,,0,10
ESS10e03_3,02.12.2025,10398,6,GR,1,9,9,2,9,7,10.0,1,1,5
ESS10e03_3,02.12.2025,10401,3,GR,1,6,7,3,4,6,5.0,6,2,8
ESS10e03_3,02.12.2025,10402,99,GR,1,1,4,0,7,8,10.0,,1,7
ESS10e03_3,02.12.2025,10414,3,GR,1,4,4,2,5,4,10.0,5,3,5
ESS10e03_3,02.12.2025,10425,6,GR,1,7,8,3,9,0,10.0,2,4,4
ESS10e03_3,02.12.2025,10427,5,GR,1,6,7,2,8,3,2.5,5,7,6
ESS10e03_3,02.12.2025,10432,4,GR,1,8,8,5,9,6,7.5,7,3,7
ESS10e03_3,02.12.2025,10439,3,GR,2,9,9,0,10,8,10.0,5,8,10
ESS10e03_3,02.12.2025,10442,3,GR,2,9,4,3,10,5,10.0,6,3,8
ESS10e03_3,02.12.2025,10445,5,GR,1,2,2,0,6,7,7.5,5,3,1
ESS10e03_3,02.12.2025,10465,1,GR,1,8,7,8,9,6,10.0,6,8,7
ESS10e03_3,02.12.2025,10466,99,GR,1,5,7,3,8,8,10.0,,0,8
ESS10e03_3,02.12.2025,10476,4,GR,2,6,5,3,5,3,10.0,5,8,8
ESS10e03_3,02.12.2025,10478,5,GR,2,7,7,5,9,6,7.5,7,3,5
ESS10e03_3,02.12.2025,10484,5,GR,1,7,9,3,8,5,10.0,2,4,6
ESS10e03_3,02.12.2025,10485,3,GR,2,5,4,0,8,7,5.0,4,,5
ESS10e03_3,02.12.2025,10489,3,GR,1,7,9,7,9,8,10.0,9,8,8
ESS10e03_3,02.12.2025,10490,4,GR,2,9,9,0,9,6,2.5,5,3,6
ESS10e03_3,02.12.2025,10491,4,GR,1,8,8,1,9,8,7.5,5,7,7
ESS10e03_3,02.12.2025,10508,4,GR,1,6,6,3,5,6,10.0,4,0,7
ESS10e03_3,02.12.2025,10526,3,GR,1,10,10,10,9,,5.0,10,8,3
ESS10e03_3,02.12.2025,10528,5,GR,2,3,4,2,4,7,10.0,2,4,7
ESS10e03_3,02.12.2025,10546,6,GR,2,3,5,0,7,6,10.0,5,1,6
ESS10e03_3,02.12.2025,10557,2,GR,1,6,6,1,6,7,10.0,4,4,4
ESS10e03_3,02.12.2025,10558,2,GR,1,8,7,4,8,7,10.0,3,5,2
