name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10019,7,IT,2,3,9,1,8,7,5.0,,6,9
ESS10e03_3,02.12.2025,10027,5,IT,2,1,4,0,8,10,7.5,5,5,2
ESS10e03_3,02.12.2025,10038,5,IT,1,0,7,0,6,7,7.5,8,5,8
ESS10e03_3,02.12.2025,10045,3,IT,1,5,5,1,8,2,7.5,6,2,4
ESS10e03_3,02.12.2025,10053,3,IT,1,8,8,3,6,6,2.5,,3,5
ESS10e03_3,02.12.2025,10057,5,IT,2,5,8,2,10,8,7.5,4,8,0
ESS10e03_3,02.12.2025,10061,5,IT,1,4,4,0,6,2,2.5,,5,5
ESS10e03_3,02.12.2025,10064,3,IT,1,6,8,4,8,7,7.5,3,8,0
ESS10e03_3,02.12.2025,10065,5,IT,1,1,6,2,5,4,10.0,10,2,6
ESS10e03_3,02.12.2025,10073,2,IT,2,8,5,1,8,2,7.5,6,4,4
ESS10e03_3,02.12.2025,10077,3,IT,2,4,5,0,5,6,7.5,1,0,6
ESS10e03_3,02.12.2025,10079,1,IT,2,7,7,7,10,7,7.5,2,9,0
ESS10e03_3,02.12.2025,10081,6,IT,1,7,7,2,9,9,10.0,2,7,8
ESS10e03_3,02.12.2025,10088,4,IT,1,6,6,2,10,10,7.5,2,8,5
ESS10e03_3,02.12.2025,10090,7,IT,1,3,8,2,5,6,7.5,6,6,7
ESS10e03_3,02.12.2025,10093,6,IT,2,6,6,0,3,8,7.5,5,5,8
ESS10e03_3,02.12.2025,10094,5,IT,1,5,6,5,6,5,10.0,,8,3
ESS10e03_3,02.12.2025,10095,5,IT,1,6,8,3,8,7,7.5,7,5,7
ESS10e03_3,02.12.2025,10107,3,IT,2,10,9,5,10,10,7.5,3,8,8
ESS10e03_3,02.12.2025,10114,7,IT,2,3,8,2,6,7,5.0,8,4,7
ESS10e03_3,02.12.2025,10130,4,IT,1,7,8,7,7,6,7.5,,5,6
ESS10e03_3,02.12.2025,10136,6,IT,1,7,6,3,7,6,7.5,3,3,3
ESS10e03_3,02.12.2025,10145,4,IT,1,8,8,6,8,7,2.5,5,2,10
ESS10e03_3,02.12.2025,10149,5,IT,1,5,7,2,8,3,7.5,10,6,4
ESS10e03_3,02.12.2025,10156,3,IT,1,4,1,0,8,3,10.0,,,9
ESS10e03_3,02.12.2025,10183,4,IT,1,6,8,5,8,0,7.5,10,6,3
ESS10e03_3,02.12.2025,10185,4,IT,2,10,9,8,10,8,7.5,,8,9
ESS10e03_3,02.12.2025,10186,2,IT,2,7,7,4,8,8,10.0,,7,1
ESS10e03_3,02.12.2025,10193,4,IT,2,6,6,5,7,5,10.0,4,7,7
ESS10e03_3,02.12.2025,10206,6,IT,2,4,6,4,9,10,7.5,6,5,7
ESS10e03_3,02.12.2025,10212,7,IT,2,0,0,0,0,0,0.0,10,8,10
ESS10e03_3,02.12.2025,10213,5,IT,1,5,9,4,9,8,7.5,5,3,8
ESS10e03_3,02.12.2025,10215,3,IT,2,5,5,4,5,3,10.0,8,4,6
ESS10e03_3,02.12.2025,10219,3,IT,2,7,8,3,8,7,10.0,6,4,8
ESS10e03_3,02.12.2025,10220,4,IT,2,6,9,5,6,6,7.5,,3,0
ESS10e03_3,02.12.2025,10223,2,IT,2,7,10,6,8,8,10.0,10,,6
ESS10e03_3,02.12.2025,10225,6,IT,1,6,6,4,5,4,7.5,8,3,5
ESS10e03_3,02.12.2025,10230,2,IT,1,8,8,6,9,7,7.5,3,,6
ESS10e03_3,02.12.2025,10249,7,IT,2,,7,5,9,5,5.0,4,2,10
ESS10e03_3,02.12.2025,10251,4,IT,1,8,9,4,8,7,7.5,7,5,9
ESS10e03_3,02.12.2025,10263,5,IT,1,8,10,3,9,4,10.0,5,10,5
ESS10e03_3,02.12.2025,10268,5,IT,2,0,,0,,,5.0,,7,2
ESS10e03_3,02.12.2025,10279,7,IT,1,0,5,2,10,9,10.0,10,0,8
ESS10e03_3,02.12.2025,10280,3,IT,1,6,7,4,8,8,10.0,6,5,3
ESS10e03_3,02.12.2025,10283,5,IT,1,3,7,3,7,8,7.5,4,5,4
ESS10e03_3,02.12.2025,10292,4,IT,2,6,7,2,6,7,10.0,8,7,4
ESS10e03_3,02.12.2025,10297,3,IT,2,5,5,4,7,7,7.5,5,6,3
ESS10e03_3,02.12.2025,10300,1,IT,2,5,6,2,9,5,7.5,,5,1
ESS10e03_3,02.12.2025,10302,5,IT,1,6,7,6,7,7,7.5,,8,5
ESS10e03_3,02.12.2025,10304,1,IT,1,0,1,0,2,1,0.0,,5,2
ESS10e03_3,02.12.2025,10312,6,IT,1,7,7,6,10,4,7.5,5,8,6
ESS10e03_3,02.12.2025,10313,4,IT,1,,6,4,6,5,7.5,,5,6
ESS10e03_3,02.12.2025,10318,3,IT,2,7,7,1,5,8,2.5,5,5,5
ESS10e03_3,02.12.2025,10320,7,IT,2,2,2,2,7,6,7.5,5,2,6
ESS10e03_3,02.12.2025,10322,3,IT,1,5,8,5,7,6,0.0,9,4,9
ESS10e03_3,02.12.2025,10328,2,IT,1,6,7,3,8,8,7.5,4,9,3
ESS10e03_3,02.12.2025,10333,5,IT,1,1,10,1,10,4,10.0,6,2,1
ESS10e03_3,02.12.2025,10334,6,IT,1,8,9,,8,6,2.5,,8,2
ESS10e03_3,02.12.2025,10337,3,IT,1,1,1,2,1,4,2.5,10,5,5
ESS10e03_3,02.12.2025,10348,1,IT,1,,0,0,2,4,7.5,,2,3
ESS10e03_3,02.12.2025,10364,3,IT,2,10,7,8,3,10,10.0,8,3,8
ESS10e03_3,02.12.2025,10372,3,IT,1,7,7,7,7,4,5.0,6,5,7
ESS10e03_3,02.12.2025,10380,7,IT,1,2,5,2,6,,,6,2,7
ESS10e03_3,02.12.2025,10393,7,IT,1,7,8,3,8,7,7.5,7,4,5
ESS10e03_3,02.12.2025,10397,2,IT,2,4,7,3,9,7,7.5,4,5,2
ESS10e03_3,02.12.2025,10401,4,IT,2,4,6,3,4,5,5.0,6,5,6
ESS10e03_3,02.12.2025,10402,6,IT,1,5,7,3,8,5,7.5,4,7,8
ESS10e03_3,02.12.2025,10404,4,IT,2,6,8,4,8,6,7.5,4,5,4
ESS10e03_3,02.12.2025,10422,6,IT,2,2,6,2,7,7,7.5,8,1,6
ESS10e03_3,02.12.2025,10439,3,IT,2,6,7,5,8,10,7.5,3,6,8
ESS10e03_3,02.12.2025,10441,7,IT,2,6,6,6,6,,5.0,,5,0
ESS10e03_3,02.12.2025,10442,7,IT,2,4,7,7,9,7,10.0,0,6,10
ESS10e03_3,02.12.2025,10457,4,IT,2,6,8,3,10,10,10.0,2,9,4
ESS10e03_3,02.12.2025,10466,5,IT,1,7,9,6,10,7,5.0,4,6,
ESS10e03_3,02.12.2025,10478,4,IT,1,5,8,4,8,6,7.5,4,5,6
ESS10e03_3,02.12.2025,10485,5,IT,1,8,10,1,9,8,10.0,9,5,8
ESS10e03_3,02.12.2025,10486,3,IT,2,5,6,4,7,7,10.0,0,6,6
ESS10e03_3,02.12.2025,10488,7,IT,2,2,3,0,0,0,5.0,,2,7
ESS10e03_3,02.12.2025,10489,4,IT,2,5,5,5,7,7,5.0,6,6,6
ESS10e03_3,02.12.2025,10491,2,IT,2,4,4,2,5,8,7.5,8,1,5
ESS10e03_3,02.12.2025,10494,5,IT,2,8,10,4,8,6,10.0,,6,10
ESS10e03_3,02.12.2025,10502,4,IT,2,4,5,2,6,7,7.5,5,7,6
ESS10e03_3,02.12.2025,10508,3,IT,2,5,6,0,6,7,7.5,3,5,8
ESS10e03_3,02.12.2025,10513,3,IT,1,6,6,6,8,3,7.5,7,4,1
ESS10e03_3,02.12.2025,10516,3,IT,1,5,6,2,7,8,10.0,,3,0
ESS10e03_3,02.12.2025,10528,7,IT,2,8,8,0,9,0,7.5,,0,10
ESS10e03_3,02.12.2025,10546,7,IT,1,7,7,5,7,6,7.5,3,5,5
ESS10e03_3,02.12.2025,10557,5,IT,1,7,6,1,7,8,5.0,,0,0
ESS10e03_3,02.12.2025,10561,5,IT,2,8,8,1,8,6,7.5,,7,8
ESS10e03_3,02.12.2025,10562,5,IT,2,3,8,0,5,6,7.5,5,4,10
ESS10e03_3,02.12.2025,10572,6,IT,2,5,6,1,8,5,7.5,8,5,8
ESS10e03_3,02.12.2025,10575,7,IT,1,3,6,2,8,4,7.5,7,3,3
ESS10e03_3,02.12.2025,10596,4,IT,2,5,6,6,8,3,2.5,7,4,4
ESS10e03_3,02.12.2025,10601,7,IT,2,7,9,0,6,5,7.5,3,3,10
ESS10e03_3,02.12.2025,10606,3,IT,2,8,8,8,8,4,7.5,,7,8
ESS10e03_3,02.12.2025,10615,2,IT,1,7,10,,9,6,10.0,,10,10
ESS10e03_3,02.12.2025,10616,3,IT,1,8,9,6,9,6,7.5,8,3,6
ESS10e03_3,02.12.2025,10621,3,IT,2,6,6,0,7,1,7.5,,4,7
ESS10e03_3,02.12.2025,10640,7,IT,1,5,7,2,8,5,2.5,8,3,5
ESS10e03_3,02.12.2025,10644,1,IT,1,0,6,1,5,0,7.5,,0,5
ESS10e03_3,02.12.2025,10649,6,IT,2,10,8,0,2,7,10.0,,8,8
ESS10e03_3,02.12.2025,10660,4,IT,1,6,8,7,9,7,7.5,9,5,7
ESS10e03_3,02.12.2025,10661,5,IT,2,7,7,4,7,5,7.5,4,7,3
ESS10e03_3,02.12.2025,10674,5,IT,2,1,5,0,5,8,7.5,5,0,8
ESS10e03_3,02.12.2025,10680,2,IT,2,3,5,2,6,6,5.0,6,4,8
ESS10e03_3,02.12.2025,10685,5,IT,1,3,5,2,5,8,10.0,8,4,0
ESS10e03_3,02.12.2025,10687,2,IT,1,6,7,4,9,6,10.0,,8,0
