name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10004,5,CZ,1,3,3,0,,3,0.0,9,4,2
ESS10e03_3,02.12.2025,10009,6,CZ,1,10,9,8,,7,2.5,9,8,0
ESS10e03_3,02.12.2025,10019,1,CZ,2,6,7,7,,2,2.5,7,7,3
ESS10e03_3,02.12.2025,10038,5,CZ,1,1,5,1,,0,0.0,,0,0
ESS10e03_3,02.12.2025,10052,5,CZ,1,6,9,3,,8,5.0,6,2,0
ESS10e03_3,02.12.2025,10053,3,CZ,1,8,8,6,,4,0.0,9,4,0
ESS10e03_3,02.12.2025,10055,7,CZ,2,4,5,3,,8,5.0,7,6,10
ESS10e03_3,02.12.2025,10062,7,CZ,2,3,4,7,,8,5.0,5,7,6
ESS10e03_3,02.12.2025,10064,5,CZ,2,4,8,6,,3,5.0,6,5,0
ESS10e03_3,02.12.2025,10065,3,CZ,1,7,8,5,,3,2.5,8,7,0
ESS10e03_3,02.12.2025,10068,4,CZ,2,8,8,4,,0,7.5,5,0,5
ESS10e03_3,02.12.2025,10071,5,CZ,2,5,6,3,,5,7.5,4,2,2
ESS10e03_3,02.12.2025,10078,4,CZ,2,6,9,5,,5,10.0,7,6,8
ESS10e03_3,02.12.2025,10079,5,CZ,2,6,7,0,,3,10.0,4,5,5
ESS10e03_3,02.12.2025,10081,5,CZ,2,7,6,5,,4,2.5,8,0,3
ESS10e03_3,02.12.2025,10083,1,CZ,1,10,9,5,,0,2.5,7,3,0
ESS10e03_3,02.12.2025,10088,4,CZ,2,3,6,2,,5,7.5,5,3,0
ESS10e03_3,02.12.2025,10089,4,CZ,2,3,2,1,,6,2.5,4,7,0
ESS10e03_3,02.12.2025,10093,3,CZ,1,8,6,8,,4,2.5,9,10,2
ESS10e03_3,02.12.2025,10104,4,CZ,2,7,7,0,,,7.5,,,
ESS10e03_3,02.12.2025,10107,5,CZ,1,4,6,0,,5,7.5,8,0,5
ESS10e03_3,02.12.2025,10112,6,CZ,2,2,2,1,,5,7.5,4,2,0
ESS10e03_3,02.12.2025,10114,4,CZ,2,7,6,8,,6,2.5,6,9,0
ESS10e03_3,02.12.2025,10116,5,CZ,2,5,7,6,,10,7.5,5,1,0
ESS10e03_3,02.12.2025,10133,5,CZ,2,9,10,5,,5,7.5,5,4,0
ESS10e03_3,02.12.2025,10136,5,CZ,1,7,6,0,,1,2.5,7,2,6
ESS10e03_3,02.12.2025,10141,1,CZ,1,3,3,4,,6,5.0,6,7,0
ESS10e03_3,02.12.2025,10145,3,CZ,1,0,0,0,,4,5.0,,1,0
ESS10e03_3,02.12.2025,10146,3,CZ,1,6,7,7,,8,2.5,8,8,8
ESS10e03_3,02.12.2025,10149,3,CZ,2,4,5,4,,8,2.5,7,1,0
ESS10e03_3,02.12.2025,10156,6,CZ,2,5,5,5,,5,5.0,10,4,7
ESS10e03_3,02.12.2025,10176,5,CZ,2,4,8,4,,8,2.5,5,5,0
ESS10e03_3,02.12.2025,10180,3,CZ,1,8,8,3,,5,2.5,5,5,7
ESS10e03_3,02.12.2025,10182,7,CZ,1,2,3,4,,8,5.0,7,7,0
ESS10e03_3,02.12.2025,10206,2,CZ,2,1,7,1,,,7.5,,1,3
ESS10e03_3,02.12.2025,10213,4,CZ,2,6,6,6,,7,2.5,8,0,0
ESS10e03_3,02.12.2025,10215,1,CZ,2,0,5,0,,3,7.5,5,5,0
ESS10e03_3,02.12.2025,10220,4,CZ,2,1,4,4,,4,2.5,5,4,0
ESS10e03_3,02.12.2025,10262,4,CZ,1,6,6,7,,10,5.0,6,8,3
ESS10e03_3,02.12.2025,10274,2,CZ,2,9,9,7,,5,2.5,5,6,1
ESS10e03_3,02.12.2025,10280,4,CZ,2,8,8,9,,5,7.5,6,0,0
ESS10e03_3,02.12.2025,10283,6,CZ,1,6,7,4,,3,2.5,7,5,6
ESS10e03_3,02.12.2025,10288,7,CZ,1,1,3,0,,6,10.0,4,2,1
ESS10e03_3,02.12.2025,10295,6,CZ,2,5,9,4,,6,7.5,0,2,0
ESS10e03_3,02.12.2025,10298,3,CZ,2,1,1,0,,10,7.5,5,1,0
ESS10e03_3,02.12.2025,10302,2,CZ,2,8,7,7,,8,0.0,9,7,7
ESS10e03_3,02.12.2025,10314,3,CZ,1,7,5,5,,8,7.5,6,2,2
ESS10e03_3,02.12.2025,10322,6,CZ,1,9,9,7,,5,5.0,4,5,0
ESS10e03_3,02.12.2025,10334,1,CZ,2,0,10,0,,1,,,0,0
ESS10e03_3,02.12.2025,10340,1,CZ,2,9,9,0,,0,,7,,
ESS10e03_3,02.12.2025,10368,6,CZ,2,7,8,2,,5,10.0,5,0,3
ESS10e03_3,02.12.2025,10369,6,CZ,2,8,9,5,,4,2.5,9,2,2
ESS10e03_3,02.12.2025,10379,3,CZ,2,3,7,2,,3,7.5,5,5,0
ESS10e03_3,02.12.2025,10380,3,CZ,1,10,10,7,,4,0.0,5,3,0
ESS10e03_3,02.12.2025,10394,6,CZ,2,6,6,6,,3,5.0,6,6,0
ESS10e03_3,02.12.2025,10397,2,CZ,1,2,4,0,,1,7.5,4,3,4
ESS10e03_3,02.12.2025,10401,6,CZ,2,2,3,0,,7,7.5,10,0,8
ESS10e03_3,02.12.2025,10402,7,CZ,1,4,5,3,,8,5.0,6,3,0
ESS10e03_3,02.12.2025,10404,2,CZ,1,7,7,3,,0,2.5,7,5,0
ESS10e03_3,02.12.2025,10421,4,CZ,1,7,8,7,,8,7.5,7,7,7
ESS10e03_3,02.12.2025,10422,5,CZ,2,10,10,8,,0,7.5,10,8,4
ESS10e03_3,02.12.2025,10427,4,CZ,2,7,5,6,,6,2.5,5,,0
ESS10e03_3,02.12.2025,10434,1,CZ,2,3,6,4,,7,7.5,,4,0
ESS10e03_3,02.12.2025,10442,2,CZ,2,8,9,7,,8,7.5,6,7,0
ESS10e03_3,02.12.2025,10457,7,CZ,1,9,8,9,,5,5.0,8,6,4
ESS10e03_3,02.12.2025,10460,4,CZ,2,8,7,4,,6,10.0,5,8,8
ESS10e03_3,02.12.2025,10465,7,CZ,2,8,9,3,,,,5,3,7
ESS10e03_3,02.12.2025,10484,4,CZ,1,7,8,8,,7,7.5,4,4,0
ESS10e03_3,02.12.2025,10486,2,CZ,2,6,8,3,,2,0.0,5,7,5
ESS10e03_3,02.12.2025,10489,2,CZ,1,5,5,0,,2,5.0,8,3,0
ESS10e03_3,02.12.2025,10490,6,CZ,2,6,6,6,,7,5.0,5,3,6
ESS10e03_3,02.12.2025,10494,4,CZ,1,8,2,2,,0,5.0,5,0,0
ESS10e03_3,02.12.2025,10501,3,CZ,1,9,9,8,,8,7.5,8,7,2
ESS10e03_3,02.12.2025,10502,5,CZ,2,5,8,2,,5,10.0,3,1,6
ESS10e03_3,02.12.2025,10504,3,CZ,1,2,6,1,,1,2.5,4,5,0
ESS10e03_3,02.12.2025,10508,2,CZ,1,3,7,3,,2,7.5,5,2,4
ESS10e03_3,02.12.2025,10526,6,CZ,2,10,10,0,,3,,,0,0
ESS10e03_3,02.12.2025,10528,2,CZ,2,5,5,2,,3,5.0,9,5,0
ESS10e03_3,02.12.2025,10529,5,CZ,1,0,9,4,,0,5.0,5,0,10
ESS10e03_3,02.12.2025,10542,3,CZ,2,5,5,6,,8,2.5,8,6,8
ESS10e03_3,02.12.2025,10546,4,CZ,1,9,8,4,,5,0.0,,3,0
ESS10e03_3,02.12.2025,10561,4,CZ,2,5,8,5,,5,0.0,,5,0
ESS10e03_3,02.12.2025,10567,4,CZ,2,8,7,7,,7,10.0,7,5,0
ESS10e03_3,02.12.2025,10572,1,CZ,2,9,10,7,,5,7.5,5,5,0
ESS10e03_3,02.12.2025,10573,3,CZ,2,9,9,5,,1,7.5,7,8,0
ESS10e03_3,02.12.2025,10575,2,CZ,1,5,6,7,,5,2.5,8,6,1
ESS10e03_3,02.12.2025,10579,6,CZ,2,0,8,0,,9,7.5,6,2,6
