"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.556870125772102,0.556870125772102,"positive","#0000FF"
"trstlgl","trstplt",0.324697024373657,0.324697024373657,"positive","#0000FF"
"trstlgl","ccrdprs",0.0154375723164858,-0.0154375723164858,"negative","#FF0000"
"trstlgl","lrscale",0.0131664235111001,0.0131664235111001,"positive","#0000FF"
"trstlgl","imwbcnt",0.0958456221565215,0.0958456221565215,"positive","#0000FF"
"trstplc","trstplt",0.185531302718658,0.185531302718658,"positive","#0000FF"
"trstplc","ccrdprs",0.0623222982674211,-0.0623222982674211,"negative","#FF0000"
"trstplc","gincdif",0.0390250807567187,0.0390250807567187,"positive","#0000FF"
"trstplc","imwbcnt",0.0275077036324766,-0.0275077036324766,"negative","#FF0000"
"trstplc","rlgdgr",0.0533150756002505,-0.0533150756002505,"negative","#FF0000"
"trstplt","ccrdprs",0.0786045745225342,0.0786045745225342,"positive","#0000FF"
"trstplt","lrscale",0.0248661495638633,0.0248661495638633,"positive","#0000FF"
"trstplt","imwbcnt",0.215753545651576,0.215753545651576,"positive","#0000FF"
"trstplt","rlgdgr",0.0760577892165502,0.0760577892165502,"positive","#0000FF"
"ccrdprs","gincdif",0.0628471294670451,-0.0628471294670451,"negative","#FF0000"
"ccrdprs","lrscale",0.028709862375738,0.028709862375738,"positive","#0000FF"
"ccrdprs","imwbcnt",0.252177759987914,0.252177759987914,"positive","#0000FF"
"ccrdprs","rlgdgr",0.15951537599511,0.15951537599511,"positive","#0000FF"
"gincdif","lrscale",0.216128901117243,-0.216128901117243,"negative","#FF0000"
"gincdif","imwbcnt",0.101779887252505,-0.101779887252505,"negative","#FF0000"
"gincdif","rlgdgr",0.0261941215926893,0.0261941215926893,"positive","#0000FF"
"lrscale","imwbcnt",0.133124064742446,0.133124064742446,"positive","#0000FF"
"imwbcnt","rlgdgr",0.0675488727595006,0.0675488727595006,"positive","#0000FF"
