"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.485750040723668,0.485750040723668,"positive","#0000FF"
"trstlgl","trstplt",0.346714076722629,0.346714076722629,"positive","#0000FF"
"trstlgl","trstsci",0.167819709013154,0.167819709013154,"positive","#0000FF"
"trstlgl","ccrdprs",0.0315221716185099,0.0315221716185099,"positive","#0000FF"
"trstlgl","gincdif",0.0659969740505881,-0.0659969740505881,"negative","#FF0000"
"trstlgl","lrscale",0.0142853203186986,0.0142853203186986,"positive","#0000FF"
"trstlgl","imwbcnt",0.150467116901361,0.150467116901361,"positive","#0000FF"
"trstlgl","rlgdgr",0.0594461461752255,-0.0594461461752255,"negative","#FF0000"
"trstplc","trstplt",0.00378374965266221,0.00378374965266221,"positive","#0000FF"
"trstplc","trstsci",0.197678108412705,0.197678108412705,"positive","#0000FF"
"trstplc","lrscale",0.110909527470336,0.110909527470336,"positive","#0000FF"
"trstplc","imwbcnt",0.125713010323865,-0.125713010323865,"negative","#FF0000"
"trstplc","rlgdgr",0.114309825103904,0.114309825103904,"positive","#0000FF"
"trstplt","trstsci",0.184326413431254,0.184326413431254,"positive","#0000FF"
"trstplt","ccrdprs",0.0625281438254934,0.0625281438254934,"positive","#0000FF"
"trstplt","lrscale",0.0250736623645012,0.0250736623645012,"positive","#0000FF"
"trstplt","imwbcnt",0.139020408046554,0.139020408046554,"positive","#0000FF"
"trstplt","rlgdgr",0.0552078918745192,0.0552078918745192,"positive","#0000FF"
"trstsci","ccrdprs",0.100760128104481,0.100760128104481,"positive","#0000FF"
"trstsci","gincdif",0.0203694122038496,-0.0203694122038496,"negative","#FF0000"
"trstsci","lrscale",0.0588234362657912,-0.0588234362657912,"negative","#FF0000"
"trstsci","imwbcnt",0.124158906640951,0.124158906640951,"positive","#0000FF"
"trstsci","rlgdgr",0.0363273170140188,-0.0363273170140188,"negative","#FF0000"
"ccrdprs","gincdif",0.0388929551253105,0.0388929551253105,"positive","#0000FF"
"ccrdprs","imwbcnt",0.229405824745524,0.229405824745524,"positive","#0000FF"
"ccrdprs","rlgdgr",0.0127496347069053,0.0127496347069053,"positive","#0000FF"
"gincdif","lrscale",0.336349353412983,-0.336349353412983,"negative","#FF0000"
"gincdif","rlgdgr",0.133989953463148,0.133989953463148,"positive","#0000FF"
"lrscale","imwbcnt",0.138755606169484,-0.138755606169484,"negative","#FF0000"
"lrscale","rlgdgr",0.231096700247708,0.231096700247708,"positive","#0000FF"
"imwbcnt","rlgdgr",0.0324066234530242,0.0324066234530242,"positive","#0000FF"
