"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.457662395103266,0.457662395103266,"positive","#0000FF"
"trstlgl","trstplt",0.313191527407562,0.313191527407562,"positive","#0000FF"
"trstlgl","ccrdprs",0.0144329467466641,0.0144329467466641,"positive","#0000FF"
"trstlgl","gincdif",0.0221252983256569,-0.0221252983256569,"negative","#FF0000"
"trstlgl","lrscale",0.138426929390754,-0.138426929390754,"negative","#FF0000"
"trstlgl","imwbcnt",0.211011614925395,0.211011614925395,"positive","#0000FF"
"trstplc","trstplt",0.20740439997514,0.20740439997514,"positive","#0000FF"
"trstplc","ccrdprs",0.0889989779837231,0.0889989779837231,"positive","#0000FF"
"trstplc","gincdif",0.0143015228043816,-0.0143015228043816,"negative","#FF0000"
"trstplc","lrscale",0.182899047325536,0.182899047325536,"positive","#0000FF"
"trstplc","imwbcnt",0.122447426531881,-0.122447426531881,"negative","#FF0000"
"trstplc","rlgdgr",0.00368286992568463,0.00368286992568463,"positive","#0000FF"
"trstplt","ccrdprs",0.0108489620989029,0.0108489620989029,"positive","#0000FF"
"trstplt","gincdif",0.0327783725162332,-0.0327783725162332,"negative","#FF0000"
"trstplt","lrscale",0.0466315281253488,0.0466315281253488,"positive","#0000FF"
"trstplt","imwbcnt",0.0842936001366206,0.0842936001366206,"positive","#0000FF"
"trstplt","rlgdgr",0.0758760272747055,0.0758760272747055,"positive","#0000FF"
"ccrdprs","gincdif",0.045668010381772,0.045668010381772,"positive","#0000FF"
"ccrdprs","lrscale",0.0115761101504838,-0.0115761101504838,"negative","#FF0000"
"ccrdprs","imwbcnt",0.169766625362838,0.169766625362838,"positive","#0000FF"
"ccrdprs","rlgdgr",0.0273365759721602,0.0273365759721602,"positive","#0000FF"
"gincdif","lrscale",0.204990151924615,-0.204990151924615,"negative","#FF0000"
"gincdif","rlgdgr",0.0150510827690326,0.0150510827690326,"positive","#0000FF"
"lrscale","imwbcnt",0.234971779725307,-0.234971779725307,"negative","#FF0000"
"lrscale","rlgdgr",0.128598656530417,0.128598656530417,"positive","#0000FF"
"imwbcnt","rlgdgr",0.0716808774350419,0.0716808774350419,"positive","#0000FF"
