"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.433869702493319,0.433869702493319,"positive","#0000FF"
"trstlgl","trstplt",0.331009414691731,0.331009414691731,"positive","#0000FF"
"trstlgl","trstsci",0.146671374115005,0.146671374115005,"positive","#0000FF"
"trstlgl","imwbcnt",0.11145301618377,0.11145301618377,"positive","#0000FF"
"trstplc","trstplt",0.115655066177572,0.115655066177572,"positive","#0000FF"
"trstplc","trstsci",0.220379948942865,0.220379948942865,"positive","#0000FF"
"trstplc","ccrdprs",0.0195547347758437,0.0195547347758437,"positive","#0000FF"
"trstplc","gincdif",0.00728749710863439,-0.00728749710863439,"negative","#FF0000"
"trstplc","lrscale",0.0338279774401758,0.0338279774401758,"positive","#0000FF"
"trstplc","rlgdgr",0.0555517553278499,0.0555517553278499,"positive","#0000FF"
"trstplt","trstsci",0.0590161915159744,0.0590161915159744,"positive","#0000FF"
"trstplt","ccrdprs",0.028594174611026,0.028594174611026,"positive","#0000FF"
"trstplt","gincdif",0.00586417643835017,-0.00586417643835017,"negative","#FF0000"
"trstplt","lrscale",0.1607156055468,0.1607156055468,"positive","#0000FF"
"trstplt","imwbcnt",0.0211292627977579,0.0211292627977579,"positive","#0000FF"
"trstplt","rlgdgr",0.134801405772385,0.134801405772385,"positive","#0000FF"
"trstsci","ccrdprs",0.125569883486618,0.125569883486618,"positive","#0000FF"
"trstsci","lrscale",0.0190720189969712,-0.0190720189969712,"negative","#FF0000"
"trstsci","imwbcnt",0.167078473199565,0.167078473199565,"positive","#0000FF"
"trstsci","rlgdgr",0.0899674631974965,-0.0899674631974965,"negative","#FF0000"
"ccrdprs","gincdif",0.0462232688203788,0.0462232688203788,"positive","#0000FF"
"ccrdprs","imwbcnt",0.170879436385992,0.170879436385992,"positive","#0000FF"
"ccrdprs","rlgdgr",0.0351346878363782,0.0351346878363782,"positive","#0000FF"
"gincdif","lrscale",0.209054877509633,-0.209054877509633,"negative","#FF0000"
"gincdif","imwbcnt",0.0704264920810737,0.0704264920810737,"positive","#0000FF"
"lrscale","imwbcnt",0.315796815366487,-0.315796815366487,"negative","#FF0000"
"lrscale","rlgdgr",0.0821851417605067,0.0821851417605067,"positive","#0000FF"
