"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.627990170071616,0.627990170071616,"positive","#0000FF"
"trstlgl","trstplt",0.182723206996111,0.182723206996111,"positive","#0000FF"
"trstlgl","trstsci",0.278138308220875,0.278138308220875,"positive","#0000FF"
"trstlgl","ccrdprs",0.0238576242025671,0.0238576242025671,"positive","#0000FF"
"trstlgl","imwbcnt",0.0325274023890867,0.0325274023890867,"positive","#0000FF"
"trstplc","trstplt",0.0191659118227448,0.0191659118227448,"positive","#0000FF"
"trstplc","trstsci",0.237851322917225,0.237851322917225,"positive","#0000FF"
"trstplc","ccrdprs",0.113444299388419,-0.113444299388419,"negative","#FF0000"
"trstplc","gincdif",0.036878500406989,-0.036878500406989,"negative","#FF0000"
"trstplc","lrscale",0.083151321655954,0.083151321655954,"positive","#0000FF"
"trstplc","imwbcnt",0.0216113694739795,-0.0216113694739795,"negative","#FF0000"
"trstplc","rlgdgr",0.102946966300767,0.102946966300767,"positive","#0000FF"
"trstplt","ccrdprs",0.0560975666927608,0.0560975666927608,"positive","#0000FF"
"trstplt","lrscale",0.150410522934334,0.150410522934334,"positive","#0000FF"
"trstplt","imwbcnt",0.191134611821815,0.191134611821815,"positive","#0000FF"
"trstsci","ccrdprs",0.109821230215272,0.109821230215272,"positive","#0000FF"
"trstsci","gincdif",0.0234405614231906,0.0234405614231906,"positive","#0000FF"
"ccrdprs","lrscale",0.0118586012534013,-0.0118586012534013,"negative","#FF0000"
"ccrdprs","imwbcnt",0.129065509565159,0.129065509565159,"positive","#0000FF"
"ccrdprs","rlgdgr",0.0277401659109531,0.0277401659109531,"positive","#0000FF"
"gincdif","lrscale",0.0692030318036077,-0.0692030318036077,"negative","#FF0000"
"gincdif","imwbcnt",0.172246416520269,-0.172246416520269,"negative","#FF0000"
"lrscale","imwbcnt",0.0954315498116258,-0.0954315498116258,"negative","#FF0000"
"lrscale","rlgdgr",0.229132332036904,0.229132332036904,"positive","#0000FF"
"imwbcnt","rlgdgr",0.15031600684877,-0.15031600684877,"negative","#FF0000"
