"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.522168242125091,0.522168242125091,"positive","#0000FF"
"trstlgl","trstplt",0.421734769031372,0.421734769031372,"positive","#0000FF"
"trstlgl","trstsci",0.0816154275196828,0.0816154275196828,"positive","#0000FF"
"trstlgl","lrscale",0.14480128217376,0.14480128217376,"positive","#0000FF"
"trstlgl","rlgdgr",0.0100467564690757,0.0100467564690757,"positive","#0000FF"
"trstplc","trstplt",0.0490563408999622,0.0490563408999622,"positive","#0000FF"
"trstplc","trstsci",0.306492026477619,0.306492026477619,"positive","#0000FF"
"trstplc","gincdif",0.00846059145769464,0.00846059145769464,"positive","#0000FF"
"trstplc","rlgdgr",0.0223220496864511,0.0223220496864511,"positive","#0000FF"
"trstplt","trstsci",0.0341439902219891,0.0341439902219891,"positive","#0000FF"
"trstplt","ccrdprs",0.0715563743510575,0.0715563743510575,"positive","#0000FF"
"trstplt","gincdif",0.154997918992499,-0.154997918992499,"negative","#FF0000"
"trstplt","lrscale",0.15069588593976,0.15069588593976,"positive","#0000FF"
"trstplt","imwbcnt",0.0669824480627593,0.0669824480627593,"positive","#0000FF"
"trstplt","rlgdgr",0.0765342836246877,0.0765342836246877,"positive","#0000FF"
"trstsci","ccrdprs",0.013263279019857,-0.013263279019857,"negative","#FF0000"
"trstsci","gincdif",0.0457835534341047,0.0457835534341047,"positive","#0000FF"
"trstsci","imwbcnt",0.0211878358728065,0.0211878358728065,"positive","#0000FF"
"trstsci","rlgdgr",0.0347184755399568,0.0347184755399568,"positive","#0000FF"
"ccrdprs","imwbcnt",0.0945620183524333,0.0945620183524333,"positive","#0000FF"
"gincdif","lrscale",0.0531193670549222,-0.0531193670549222,"negative","#FF0000"
"gincdif","imwbcnt",0.128879174678542,-0.128879174678542,"negative","#FF0000"
"gincdif","rlgdgr",0.0146748900587541,-0.0146748900587541,"negative","#FF0000"
"lrscale","imwbcnt",0.10713645242121,-0.10713645242121,"negative","#FF0000"
"lrscale","rlgdgr",0.0230968495333224,0.0230968495333224,"positive","#0000FF"
