"Source","Target","weight","r","sign","color"
"trstlgl","trstplc",0.394903979319535,0.394903979319535,"positive","#0000FF"
"trstlgl","trstplt",0.447595671248289,0.447595671248289,"positive","#0000FF"
"trstlgl","trstsci",0.139264302817599,0.139264302817599,"positive","#0000FF"
"trstlgl","gincdif",0.0580587577404689,0.0580587577404689,"positive","#0000FF"
"trstlgl","lrscale",0.162268855406329,-0.162268855406329,"negative","#FF0000"
"trstlgl","imwbcnt",0.0574710824295432,0.0574710824295432,"positive","#0000FF"
"trstplc","trstplt",0.0397875213764584,0.0397875213764584,"positive","#0000FF"
"trstplc","trstsci",0.333488616366912,0.333488616366912,"positive","#0000FF"
"trstplc","ccrdprs",0.0736118499067666,0.0736118499067666,"positive","#0000FF"
"trstplc","lrscale",0.125092440288433,0.125092440288433,"positive","#0000FF"
"trstplc","imwbcnt",0.0470456636354161,-0.0470456636354161,"negative","#FF0000"
"trstplc","rlgdgr",0.143598769335655,0.143598769335655,"positive","#0000FF"
"trstplt","ccrdprs",0.0304494521643074,0.0304494521643074,"positive","#0000FF"
"trstplt","gincdif",0.0410500680642155,-0.0410500680642155,"negative","#FF0000"
"trstplt","lrscale",0.0659087682556564,0.0659087682556564,"positive","#0000FF"
"trstplt","imwbcnt",0.195675790486585,0.195675790486585,"positive","#0000FF"
"trstsci","ccrdprs",0.093952026783572,0.093952026783572,"positive","#0000FF"
"trstsci","gincdif",0.067783218136984,0.067783218136984,"positive","#0000FF"
"trstsci","imwbcnt",0.0622755786994486,0.0622755786994486,"positive","#0000FF"
"ccrdprs","gincdif",0.192103994742263,0.192103994742263,"positive","#0000FF"
"ccrdprs","lrscale",0.0284197409335785,-0.0284197409335785,"negative","#FF0000"
"ccrdprs","imwbcnt",0.112476876837704,0.112476876837704,"positive","#0000FF"
"ccrdprs","rlgdgr",0.00652996781467776,0.00652996781467776,"positive","#0000FF"
"gincdif","lrscale",0.0860138688095563,-0.0860138688095563,"negative","#FF0000"
"gincdif","imwbcnt",0.0293229295614881,0.0293229295614881,"positive","#0000FF"
"gincdif","rlgdgr",0.0265660166799759,0.0265660166799759,"positive","#0000FF"
"lrscale","imwbcnt",0.145045458294883,-0.145045458294883,"negative","#FF0000"
"lrscale","rlgdgr",0.093713431219455,0.093713431219455,"positive","#0000FF"
"imwbcnt","rlgdgr",0.00949732832006069,-0.00949732832006069,"negative","#FF0000"
