name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10005,1,FR,2,8,9,8,,10,7.5,5,5,7
ESS10e03_3,02.12.2025,10007,2,FR,2,4,8,5,,10,5.0,0,7,0
ESS10e03_3,02.12.2025,10011,2,FR,2,6,6,4,,7,7.5,5,5,0
ESS10e03_3,02.12.2025,10022,6,FR,2,7,8,5,,7,10.0,3,7,10
ESS10e03_3,02.12.2025,10025,3,FR,1,7,7,5,,8,5.0,5,6,0
ESS10e03_3,02.12.2025,10050,5,FR,1,0,10,5,,10,7.5,4,8,6
ESS10e03_3,02.12.2025,10069,5,FR,1,8,8,7,,6,10.0,9,3,7
ESS10e03_3,02.12.2025,10092,5,FR,1,3,5,5,,5,5.0,7,4,0
ESS10e03_3,02.12.2025,10096,4,FR,1,3,5,1,,5,10.0,5,5,0
ESS10e03_3,02.12.2025,10118,4,FR,1,6,8,4,,7,7.5,7,5,5
ESS10e03_3,02.12.2025,10125,2,FR,1,7,7,3,,10,5.0,7,7,10
ESS10e03_3,02.12.2025,10143,3,FR,1,9,9,7,,7,7.5,5,5,0
ESS10e03_3,02.12.2025,10153,4,FR,1,8,8,6,,3,7.5,2,7,0
ESS10e03_3,02.12.2025,10155,3,FR,1,4,7,4,,7,2.5,8,4,7
ESS10e03_3,02.12.2025,10157,5,FR,2,5,5,0,,10,10.0,5,5,10
ESS10e03_3,02.12.2025,10159,7,FR,1,7,7,5,,5,7.5,5,5,2
ESS10e03_3,02.12.2025,10166,1,FR,2,7,7,8,,8,10.0,3,8,7
ESS10e03_3,02.12.2025,10170,4,FR,1,6,6,4,,8,7.5,5,7,0
ESS10e03_3,02.12.2025,10177,5,FR,2,6,7,5,,8,7.5,8,7,3
ESS10e03_3,02.12.2025,10178,5,FR,1,4,5,4,,8,10.0,3,5,2
ESS10e03_3,02.12.2025,10188,5,FR,2,8,8,4,,3,10.0,6,3,6
ESS10e03_3,02.12.2025,10196,3,FR,2,7,7,4,,8,5.0,5,7,10
ESS10e03_3,02.12.2025,10199,2,FR,1,6,5,5,,5,7.5,7,5,3
ESS10e03_3,02.12.2025,10205,3,FR,2,8,8,6,,7,10.0,,0,6
ESS10e03_3,02.12.2025,10210,4,FR,1,6,8,5,,5,2.5,8,6,6
ESS10e03_3,02.12.2025,10231,6,FR,1,5,8,5,,5,7.5,7,5,6
ESS10e03_3,02.12.2025,10233,1,FR,1,5,5,5,,8,7.5,5,5,7
ESS10e03_3,02.12.2025,10234,2,FR,2,9,9,5,,10,5.0,5,5,8
ESS10e03_3,02.12.2025,10240,6,FR,1,5,6,5,,10,10.0,7,10,10
ESS10e03_3,02.12.2025,10256,1,FR,2,8,8,5,,8,7.5,4,7,5
ESS10e03_3,02.12.2025,10269,3,FR,2,6,9,4,,0,10.0,10,2,10
ESS10e03_3,02.12.2025,10270,4,FR,1,8,8,9,,9,7.5,4,7,8
ESS10e03_3,02.12.2025,10277,6,FR,1,8,10,5,,10,2.5,10,8,8
ESS10e03_3,02.12.2025,10278,3,FR,1,3,4,3,,8,7.5,5,3,0
ESS10e03_3,02.12.2025,10285,1,FR,1,3,9,3,,7,7.5,8,2,2
ESS10e03_3,02.12.2025,10289,5,FR,2,0,5,0,,8,10.0,,4,2
ESS10e03_3,02.12.2025,10299,4,FR,2,5,7,5,,10,7.5,,5,10
ESS10e03_3,02.12.2025,10321,7,FR,2,5,5,2,,9,10.0,3,7,7
ESS10e03_3,02.12.2025,10326,3,FR,2,6,6,3,,8,2.5,5,8,0
ESS10e03_3,02.12.2025,10341,4,FR,1,2,8,0,,9,0.0,8,5,2
ESS10e03_3,02.12.2025,10346,2,FR,1,5,8,2,,3,7.5,6,6,0
ESS10e03_3,02.12.2025,10349,7,FR,1,6,7,5,,8,7.5,6,5,5
ESS10e03_3,02.12.2025,10356,5,FR,1,2,4,1,,9,10.0,3,6,1
ESS10e03_3,02.12.2025,10358,5,FR,1,5,7,3,,6,7.5,9,1,5
ESS10e03_3,02.12.2025,10381,4,FR,2,7,7,4,,7,10.0,5,2,6
ESS10e03_3,02.12.2025,10388,2,FR,1,7,8,3,,10,7.5,4,8,0
ESS10e03_3,02.12.2025,10405,5,FR,2,5,6,6,,8,7.5,10,5,8
ESS10e03_3,02.12.2025,10412,4,FR,1,0,5,0,,10,10.0,,5,0
ESS10e03_3,02.12.2025,10419,1,FR,2,8,8,8,,9,7.5,5,5,8
ESS10e03_3,02.12.2025,10428,4,FR,2,0,0,0,,8,7.5,4,7,4
ESS10e03_3,02.12.2025,10435,4,FR,2,2,7,1,,7,10.0,,3,7
ESS10e03_3,02.12.2025,10436,2,FR,1,6,2,3,,7,5.0,5,5,4
ESS10e03_3,02.12.2025,10438,2,FR,1,3,3,0,,9,5.0,5,6,7
ESS10e03_3,02.12.2025,10446,4,FR,2,10,10,5,,7,7.5,5,5,8
ESS10e03_3,02.12.2025,10447,2,FR,1,2,8,5,,10,0.0,6,3,9
ESS10e03_3,02.12.2025,10481,5,FR,1,6,6,6,,10,5.0,5,5,5
ESS10e03_3,02.12.2025,10493,5,FR,2,6,6,4,,9,10.0,2,9,0
ESS10e03_3,02.12.2025,10506,3,FR,1,6,4,3,,7,7.5,3,5,10
ESS10e03_3,02.12.2025,10511,7,FR,1,5,4,3,,9,10.0,3,5,3
ESS10e03_3,02.12.2025,10521,6,FR,2,7,8,5,,9,10.0,5,5,9
ESS10e03_3,02.12.2025,10522,1,FR,1,7,9,8,,10,7.5,6,9,1
ESS10e03_3,02.12.2025,10524,2,FR,2,8,8,6,,10,5.0,5,5,1
ESS10e03_3,02.12.2025,10535,6,FR,2,7,6,6,,9,10.0,3,7,7
ESS10e03_3,02.12.2025,10536,7,FR,1,4,8,7,,7,7.5,5,5,1
ESS10e03_3,02.12.2025,10545,4,FR,2,5,6,5,,9,7.5,8,3,5
ESS10e03_3,02.12.2025,10549,3,FR,1,8,8,6,,8,7.5,5,7,4
ESS10e03_3,02.12.2025,10556,6,FR,2,0,0,4,,6,10.0,0,8,4
ESS10e03_3,02.12.2025,10560,2,FR,2,7,7,6,,7,5.0,6,6,2
ESS10e03_3,02.12.2025,10583,1,FR,1,6,6,5,,4,7.5,6,6,0
ESS10e03_3,02.12.2025,10584,1,FR,2,5,0,5,,6,2.5,3,10,10
ESS10e03_3,02.12.2025,10595,7,FR,2,2,7,3,,7,0.0,8,3,2
ESS10e03_3,02.12.2025,10605,5,FR,1,2,5,0,,4,10.0,2,5,0
ESS10e03_3,02.12.2025,10608,4,FR,1,3,5,3,,2,7.5,,5,6
ESS10e03_3,02.12.2025,10625,5,FR,1,6,7,4,,9,10.0,4,5,1
ESS10e03_3,02.12.2025,10630,5,FR,2,7,7,5,,10,7.5,3,,0
ESS10e03_3,02.12.2025,10641,2,FR,1,9,7,4,,6,10.0,2,8,0
ESS10e03_3,02.12.2025,10663,2,FR,2,10,8,0,,5,7.5,5,6,0
ESS10e03_3,02.12.2025,10672,5,FR,1,8,8,6,,6,7.5,4,7,0
ESS10e03_3,02.12.2025,10678,7,FR,2,7,7,6,,8,5.0,7,5,7
ESS10e03_3,02.12.2025,10679,4,FR,1,5,6,5,,9,10.0,4,7,0
ESS10e03_3,02.12.2025,10682,3,FR,2,8,7,3,,9,7.5,3,5,3
ESS10e03_3,02.12.2025,10701,5,FR,1,7,7,6,,8,7.5,4,8,8
ESS10e03_3,02.12.2025,10720,2,FR,1,,10,,,6,,,,
ESS10e03_3,02.12.2025,10726,5,FR,2,7,9,4,,7,2.5,,5,0
ESS10e03_3,02.12.2025,10727,5,FR,1,5,7,6,,8,10.0,,4,1
ESS10e03_3,02.12.2025,10740,2,FR,1,6,6,3,,8,7.5,5,5,2
ESS10e03_3,02.12.2025,10742,6,FR,1,1,5,1,,7,10.0,6,5,0
ESS10e03_3,02.12.2025,10743,2,FR,1,5,4,5,,7,7.5,5,10,7
ESS10e03_3,02.12.2025,10751,2,FR,1,0,3,0,,9,10.0,10,0,0
ESS10e03_3,02.12.2025,10756,5,FR,1,3,2,2,,5,10.0,5,1,6
ESS10e03_3,02.12.2025,10781,6,FR,1,7,8,3,,8,10.0,8,3,
ESS10e03_3,02.12.2025,10787,2,FR,1,6,8,8,,10,2.5,5,8,10
ESS10e03_3,02.12.2025,10789,3,FR,2,0,0,0,,0,10.0,4,6,2
ESS10e03_3,02.12.2025,10794,5,FR,1,8,8,5,,8,5.0,7,6,2
ESS10e03_3,02.12.2025,10849,3,FR,1,4,3,6,,7,5.0,5,5,8
ESS10e03_3,02.12.2025,10850,1,FR,2,7,8,5,,8,7.5,6,6,0
ESS10e03_3,02.12.2025,10860,4,FR,2,5,7,5,,7,10.0,5,5,10
ESS10e03_3,02.12.2025,10862,3,FR,2,7,7,3,,7,2.5,2,8,6
ESS10e03_3,02.12.2025,10866,4,FR,1,5,7,2,,6,7.5,8,1,0
ESS10e03_3,02.12.2025,10876,6,FR,1,2,2,2,,2,5.0,3,1,4
ESS10e03_3,02.12.2025,10885,6,FR,1,4,6,3,,3,0.0,7,4,3
