name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,50002,6,GB,1,7,7,2,9,7,2.5,5,7,0
ESS10e03_3,02.12.2025,50008,7,GB,2,6,5,7,8,10,2.5,9,3,4
ESS10e03_3,02.12.2025,50021,6,GB,1,5,4,3,6,4,5.0,5,6,6
ESS10e03_3,02.12.2025,50023,1,GB,2,4,6,2,7,8,7.5,2,10,3
ESS10e03_3,02.12.2025,50033,5,GB,2,0,5,0,6,9,7.5,6,4,4
ESS10e03_3,02.12.2025,50052,6,GB,2,6,1,1,7,7,7.5,5,5,2
ESS10e03_3,02.12.2025,50100,4,GB,2,7,6,0,7,10,10.0,6,9,5
ESS10e03_3,02.12.2025,50129,7,GB,1,8,9,6,9,10,7.5,4,5,1
ESS10e03_3,02.12.2025,50191,3,GB,2,7,6,4,8,8,10.0,4,7,0
ESS10e03_3,02.12.2025,50242,5,GB,1,8,8,7,8,8,7.5,4,9,0
ESS10e03_3,02.12.2025,50297,5,GB,1,6,5,3,9,8,10.0,5,7,2
ESS10e03_3,02.12.2025,50344,6,GB,2,4,7,1,7,9,10.0,4,6,4
ESS10e03_3,02.12.2025,50347,6,GB,2,5,5,5,7,8,10.0,2,8,0
ESS10e03_3,02.12.2025,50378,1,GB,1,3,2,2,5,5,7.5,2,8,6
ESS10e03_3,02.12.2025,50416,4,GB,1,7,7,5,9,7,10.0,3,8,1
ESS10e03_3,02.12.2025,50436,3,GB,1,9,8,3,8,8,10.0,5,5,0
ESS10e03_3,02.12.2025,50465,5,GB,1,8,8,7,9,8,7.5,6,5,2
ESS10e03_3,02.12.2025,50493,6,GB,1,9,9,5,7,6,7.5,5,9,0
ESS10e03_3,02.12.2025,50525,2,GB,1,6,5,2,9,7,10.0,2,9,0
ESS10e03_3,02.12.2025,50535,2,GB,1,5,4,5,10,4,10.0,5,5,1
ESS10e03_3,02.12.2025,50583,4,GB,1,3,2,0,2,3,7.5,5,6,0
ESS10e03_3,02.12.2025,50584,1,GB,1,8,9,5,10,5,2.5,7,3,1
ESS10e03_3,02.12.2025,50587,6,GB,2,8,8,6,10,10,5.0,3,8,5
ESS10e03_3,02.12.2025,50617,3,GB,2,5,6,4,5,10,5.0,,8,10
ESS10e03_3,02.12.2025,50632,7,GB,2,,3,1,5,8,10.0,3,6,0
ESS10e03_3,02.12.2025,50706,2,GB,1,8,0,0,10,10,0.0,,8,6
ESS10e03_3,02.12.2025,50732,4,GB,2,2,9,0,4,8,7.5,,0,0
ESS10e03_3,02.12.2025,50737,7,GB,1,4,2,0,8,7,10.0,6,3,4
ESS10e03_3,02.12.2025,50756,7,GB,1,10,7,3,6,6,5.0,4,2,4
ESS10e03_3,02.12.2025,50757,5,GB,1,7,9,2,10,8,5.0,8,7,1
ESS10e03_3,02.12.2025,50831,2,GB,2,3,7,2,6,7,10.0,5,5,0
ESS10e03_3,02.12.2025,50842,2,GB,1,7,6,3,9,6,5.0,5,7,3
ESS10e03_3,02.12.2025,50843,7,GB,2,7,7,5,10,10,7.5,5,9,0
ESS10e03_3,02.12.2025,50906,6,GB,2,2,2,2,10,8,10.0,7,8,8
ESS10e03_3,02.12.2025,50935,2,GB,1,4,10,0,8,7,7.5,10,5,0
ESS10e03_3,02.12.2025,51074,7,GB,1,7,8,8,7,9,10.0,9,8,10
ESS10e03_3,02.12.2025,51102,7,GB,2,7,2,5,8,7,5.0,8,6,9
ESS10e03_3,02.12.2025,51138,1,GB,2,5,6,5,7,,5.0,5,6,7
ESS10e03_3,02.12.2025,51188,5,GB,1,5,5,3,0,5,2.5,5,3,5
ESS10e03_3,02.12.2025,51217,5,GB,2,9,8,2,7,5,2.5,5,7,3
ESS10e03_3,02.12.2025,51235,3,GB,2,3,3,0,9,2,2.5,0,8,5
ESS10e03_3,02.12.2025,51292,2,GB,2,7,9,4,7,8,10.0,5,7,1
ESS10e03_3,02.12.2025,51297,4,GB,1,8,5,5,9,8,10.0,3,9,1
ESS10e03_3,02.12.2025,51392,6,GB,1,0,0,0,0,10,5.0,0,5,1
ESS10e03_3,02.12.2025,51433,2,GB,1,8,5,1,10,7,5.0,3,7,0
ESS10e03_3,02.12.2025,51462,5,GB,2,5,6,4,6,8,5.0,6,5,4
ESS10e03_3,02.12.2025,51525,7,GB,2,7,8,6,7,7,7.5,5,7,7
ESS10e03_3,02.12.2025,51526,5,GB,1,0,10,0,0,10,7.5,,0,5
ESS10e03_3,02.12.2025,51572,5,GB,2,5,5,3,6,8,7.5,4,3,6
ESS10e03_3,02.12.2025,51622,2,GB,2,4,8,1,10,10,10.0,1,8,0
ESS10e03_3,02.12.2025,51638,7,GB,2,0,7,7,4,,7.5,6,0,6
ESS10e03_3,02.12.2025,51640,4,GB,2,8,5,7,10,8,10.0,5,7,8
ESS10e03_3,02.12.2025,51681,6,GB,2,8,9,5,9,9,7.5,10,7,2
ESS10e03_3,02.12.2025,51761,5,GB,2,6,5,4,8,7,7.5,5,4,2
ESS10e03_3,02.12.2025,51802,3,GB,1,7,6,3,8,8,7.5,3,8,7
ESS10e03_3,02.12.2025,51815,2,GB,2,4,7,1,5,4,5.0,5,4,1
ESS10e03_3,02.12.2025,51857,2,GB,2,6,6,3,8,7,7.5,6,5,3
ESS10e03_3,02.12.2025,51917,7,GB,2,,7,0,,1,7.5,,,3
ESS10e03_3,02.12.2025,51954,4,GB,1,3,5,3,9,8,10.0,6,7,1
ESS10e03_3,02.12.2025,51978,99,GB,1,5,8,2,8,6,10.0,6,8,0
ESS10e03_3,02.12.2025,51982,7,GB,2,8,8,7,7,7,5.0,9,6,7
ESS10e03_3,02.12.2025,51998,5,GB,2,5,6,2,6,7,10.0,3,5,8
ESS10e03_3,02.12.2025,52027,7,GB,2,9,9,7,9,,5.0,7,,5
ESS10e03_3,02.12.2025,52060,4,GB,2,4,6,3,3,8,7.5,5,5,5
ESS10e03_3,02.12.2025,52068,7,GB,1,7,7,6,8,10,7.5,7,6,7
ESS10e03_3,02.12.2025,52080,3,GB,2,8,8,7,7,5,,,8,7
ESS10e03_3,02.12.2025,52082,7,GB,2,5,6,4,8,7,10.0,7,5,8
ESS10e03_3,02.12.2025,52099,2,GB,1,10,10,3,10,10,7.5,5,9,0
ESS10e03_3,02.12.2025,52109,1,GB,2,7,7,4,8,8,7.5,7,7,4
ESS10e03_3,02.12.2025,52135,4,GB,2,5,5,0,8,10,7.5,,0,1
ESS10e03_3,02.12.2025,52150,5,GB,2,9,6,4,8,8,7.5,3,8,6
ESS10e03_3,02.12.2025,52159,7,GB,2,7,9,5,8,10,7.5,5,7,5
ESS10e03_3,02.12.2025,52167,4,GB,2,8,7,3,9,9,7.5,7,0,2
ESS10e03_3,02.12.2025,52213,6,GB,1,1,10,5,10,10,7.5,4,5,5
ESS10e03_3,02.12.2025,52259,2,GB,2,5,10,10,5,10,7.5,,5,10
ESS10e03_3,02.12.2025,52271,3,GB,2,,1,0,1,5,7.5,5,4,8
ESS10e03_3,02.12.2025,52307,2,GB,2,2,0,0,6,2,10.0,,6,8
ESS10e03_3,02.12.2025,52396,3,GB,1,7,7,2,9,6,5.0,3,8,0
ESS10e03_3,02.12.2025,52412,3,GB,2,7,8,3,7,5,7.5,5,5,5
ESS10e03_3,02.12.2025,52438,6,GB,1,2,2,2,8,0,2.5,9,0,9
ESS10e03_3,02.12.2025,52475,7,GB,1,7,8,7,8,6,7.5,6,5,3
ESS10e03_3,02.12.2025,52533,5,GB,1,4,6,3,5,6,2.5,7,10,10
ESS10e03_3,02.12.2025,52564,4,GB,2,9,10,2,10,7,0.0,5,5,1
ESS10e03_3,02.12.2025,52570,5,GB,2,7,7,5,9,7,7.5,5,8,5
ESS10e03_3,02.12.2025,52592,6,GB,2,0,10,2,8,10,7.5,5,9,9
ESS10e03_3,02.12.2025,52603,6,GB,1,5,9,4,4,,2.5,9,5,10
ESS10e03_3,02.12.2025,52656,3,GB,1,8,6,5,8,7,7.5,8,6,7
ESS10e03_3,02.12.2025,52674,4,GB,2,9,9,6,7,8,7.5,9,5,2
ESS10e03_3,02.12.2025,52682,6,GB,1,1,5,1,6,9,7.5,5,8,5
ESS10e03_3,02.12.2025,52698,4,GB,2,7,8,6,6,5,2.5,7,6,4
ESS10e03_3,02.12.2025,52704,6,GB,1,8,7,5,9,9,7.5,8,8,2
ESS10e03_3,02.12.2025,52735,5,GB,1,9,9,6,10,8,7.5,5,8,1
ESS10e03_3,02.12.2025,52736,3,GB,2,8,8,2,8,7,10.0,5,6,7
ESS10e03_3,02.12.2025,52756,4,GB,1,7,8,5,8,6,2.5,5,1,2
ESS10e03_3,02.12.2025,52758,5,GB,1,9,10,6,8,9,2.5,8,6,0
ESS10e03_3,02.12.2025,52784,2,GB,2,5,6,9,5,7,7.5,5,9,5
ESS10e03_3,02.12.2025,52879,6,GB,2,7,6,6,9,8,10.0,8,9,7
ESS10e03_3,02.12.2025,53004,7,GB,2,4,4,1,6,8,10.0,3,7,8
ESS10e03_3,02.12.2025,53053,6,GB,1,7,6,2,8,7,7.5,8,7,1
ESS10e03_3,02.12.2025,53113,5,GB,2,0,4,8,8,8,5.0,6,6,8
ESS10e03_3,02.12.2025,53132,5,GB,2,8,8,3,9,10,10.0,5,9,2
ESS10e03_3,02.12.2025,53140,3,GB,1,5,7,4,6,5,7.5,5,10,7
ESS10e03_3,02.12.2025,53143,7,GB,1,6,7,3,7,9,7.5,7,7,5
ESS10e03_3,02.12.2025,53146,1,GB,2,8,6,5,8,7,5.0,0,10,7
ESS10e03_3,02.12.2025,53151,7,GB,2,5,9,7,8,2,0.0,7,7,5
ESS10e03_3,02.12.2025,53188,1,GB,2,4,4,5,6,3,10.0,5,3,0
ESS10e03_3,02.12.2025,53213,4,GB,2,5,5,4,8,10,7.5,5,5,8
ESS10e03_3,02.12.2025,53235,2,GB,1,6,5,3,8,8,10.0,3,8,0
ESS10e03_3,02.12.2025,53238,6,GB,2,,0,0,8,3,10.0,,0,0
ESS10e03_3,02.12.2025,53280,3,GB,2,5,8,5,7,8,7.5,5,8,6
ESS10e03_3,02.12.2025,53304,3,GB,1,4,6,1,5,2,2.5,7,5,7
ESS10e03_3,02.12.2025,53329,3,GB,2,7,10,2,10,8,7.5,5,10,10
ESS10e03_3,02.12.2025,53357,3,GB,2,7,7,3,4,7,10.0,7,6,0
ESS10e03_3,02.12.2025,53368,6,GB,2,5,9,5,8,5,10.0,,1,10
ESS10e03_3,02.12.2025,53432,4,GB,1,8,6,2,8,8,5.0,5,5,0
ESS10e03_3,02.12.2025,53462,3,GB,2,5,6,4,7,8,7.5,3,7,3
ESS10e03_3,02.12.2025,53480,3,GB,2,9,10,6,10,10,7.5,1,9,9
ESS10e03_3,02.12.2025,53511,4,GB,2,8,8,2,10,10,10.0,2,10,5
ESS10e03_3,02.12.2025,53539,4,GB,1,8,9,7,9,8,7.5,4,8,9
ESS10e03_3,02.12.2025,53691,6,GB,2,5,5,2,2,6,7.5,10,2,6
ESS10e03_3,02.12.2025,53739,2,GB,2,0,2,0,4,6,5.0,5,5,5
ESS10e03_3,02.12.2025,53749,2,GB,2,3,5,3,7,7,7.5,3,6,0
ESS10e03_3,02.12.2025,53765,2,GB,1,5,7,0,8,8,10.0,1,10,6
ESS10e03_3,02.12.2025,53905,3,GB,1,3,5,2,6,3,7.5,3,6,5
ESS10e03_3,02.12.2025,53926,6,GB,1,7,8,6,10,10,7.5,7,8,0
ESS10e03_3,02.12.2025,53930,7,GB,1,1,4,0,10,5,0.0,10,1,5
ESS10e03_3,02.12.2025,53947,3,GB,2,8,7,6,9,7,7.5,6,7,4
ESS10e03_3,02.12.2025,53949,3,GB,2,7,9,3,9,8,5.0,6,3,0
ESS10e03_3,02.12.2025,53991,5,GB,2,8,7,6,9,7,7.5,3,10,5
ESS10e03_3,02.12.2025,53996,3,GB,2,4,3,1,8,10,10.0,0,10,0
ESS10e03_3,02.12.2025,54002,3,GB,1,5,5,6,5,6,5.0,6,7,1
ESS10e03_3,02.12.2025,54053,7,GB,2,4,4,2,4,6,7.5,6,7,6
ESS10e03_3,02.12.2025,54070,5,GB,1,5,4,5,6,9,10.0,5,7,7
ESS10e03_3,02.12.2025,54091,3,GB,1,7,8,1,8,7,10.0,2,3,0
ESS10e03_3,02.12.2025,54094,6,GB,2,4,4,3,3,8,7.5,7,,6
ESS10e03_3,02.12.2025,54099,6,GB,1,4,4,2,8,8,2.5,7,5,10
ESS10e03_3,02.12.2025,54111,1,GB,1,3,2,2,7,8,7.5,2,8,5
ESS10e03_3,02.12.2025,54171,1,GB,1,7,7,2,8,7,2.5,7,3,1
ESS10e03_3,02.12.2025,54240,6,GB,1,6,6,5,2,0,5.0,8,1,5
ESS10e03_3,02.12.2025,54251,5,GB,1,6,7,6,8,6,7.5,5,6,4
ESS10e03_3,02.12.2025,54257,3,GB,2,7,5,5,8,10,10.0,0,10,0
ESS10e03_3,02.12.2025,54318,4,GB,1,6,9,6,9,10,7.5,6,9,5
ESS10e03_3,02.12.2025,54355,7,GB,1,2,2,2,7,9,10.0,0,8,0
ESS10e03_3,02.12.2025,54371,7,GB,1,2,1,2,8,4,7.5,5,5,8
ESS10e03_3,02.12.2025,54425,7,GB,1,6,7,4,,7,5.0,5,7,4
ESS10e03_3,02.12.2025,54460,6,GB,1,5,6,0,2,0,7.5,7,2,0
ESS10e03_3,02.12.2025,54482,7,GB,2,8,7,3,7,8,7.5,8,7,7
ESS10e03_3,02.12.2025,54522,7,GB,1,0,0,0,3,1,0.0,8,1,0
ESS10e03_3,02.12.2025,54532,5,GB,2,3,9,2,5,8,10.0,3,8,6
ESS10e03_3,02.12.2025,54545,7,GB,2,8,8,6,8,8,2.5,7,7,4
ESS10e03_3,02.12.2025,54557,6,GB,1,1,0,2,4,7,7.5,5,3,5
ESS10e03_3,02.12.2025,54558,2,GB,1,7,7,5,8,7,7.5,5,7,0
ESS10e03_3,02.12.2025,54588,7,GB,2,6,7,3,8,9,7.5,4,8,2
ESS10e03_3,02.12.2025,54589,6,GB,1,7,7,5,9,6,5.0,7,7,2
ESS10e03_3,02.12.2025,54604,6,GB,2,5,7,4,6,7,7.5,7,5,5
ESS10e03_3,02.12.2025,54645,5,GB,2,8,6,6,7,10,7.5,5,5,7
ESS10e03_3,02.12.2025,54794,4,GB,1,6,6,6,8,7,10.0,4,6,2
ESS10e03_3,02.12.2025,54853,6,GB,2,5,5,5,5,0,2.5,10,1,8
ESS10e03_3,02.12.2025,54879,4,GB,2,3,4,1,5,0,2.5,9,1,9
ESS10e03_3,02.12.2025,54884,6,GB,2,0,0,0,2,10,5.0,5,5,0
ESS10e03_3,02.12.2025,54973,4,GB,2,2,2,1,7,7,7.5,0,8,5
ESS10e03_3,02.12.2025,54985,5,GB,2,7,8,3,5,7,7.5,6,5,5
ESS10e03_3,02.12.2025,54988,4,GB,2,8,1,2,9,0,10.0,5,8,8
ESS10e03_3,02.12.2025,54996,3,GB,1,8,8,8,10,8,7.5,5,6,8
ESS10e03_3,02.12.2025,55019,7,GB,2,8,10,0,10,10,7.5,4,10,0
ESS10e03_3,02.12.2025,55037,7,GB,1,5,4,5,5,8,5.0,4,10,0
ESS10e03_3,02.12.2025,55039,7,GB,2,8,8,7,9,10,10.0,5,8,9
ESS10e03_3,02.12.2025,55050,4,GB,2,7,7,4,7,7,5.0,8,5,7
ESS10e03_3,02.12.2025,55068,6,GB,2,5,5,2,8,6,7.5,5,6,8
ESS10e03_3,02.12.2025,55087,5,GB,2,7,7,4,5,8,7.5,7,4,10
ESS10e03_3,02.12.2025,55094,5,GB,2,5,6,7,9,7,7.5,6,8,4
ESS10e03_3,02.12.2025,55127,3,GB,1,5,5,0,10,6,10.0,0,8,0
ESS10e03_3,02.12.2025,55163,1,GB,1,8,8,2,9,8,7.5,2,10,1
ESS10e03_3,02.12.2025,55280,7,GB,2,5,6,5,8,5,5.0,6,2,5
ESS10e03_3,02.12.2025,55294,7,GB,2,7,8,6,9,8,7.5,2,6,6
ESS10e03_3,02.12.2025,55321,7,GB,2,5,4,5,6,3,5.0,5,1,3
ESS10e03_3,02.12.2025,55368,7,GB,1,0,0,0,0,0,7.5,5,4,2
ESS10e03_3,02.12.2025,55378,5,GB,1,6,8,2,10,2,2.5,4,3,5
ESS10e03_3,02.12.2025,55423,5,GB,1,4,0,0,6,8,10.0,5,0,0
ESS10e03_3,02.12.2025,55469,6,GB,2,7,8,5,10,10,5.0,10,3,6
ESS10e03_3,02.12.2025,55508,6,GB,2,1,1,0,4,4,10.0,,9,7
ESS10e03_3,02.12.2025,55591,4,GB,2,5,6,3,8,9,7.5,5,9,8
ESS10e03_3,02.12.2025,55638,6,GB,1,5,5,2,7,0,7.5,5,5,5
ESS10e03_3,02.12.2025,55652,4,GB,1,9,4,4,9,5,10.0,4,5,10
ESS10e03_3,02.12.2025,55654,4,GB,1,7,9,2,8,10,7.5,0,3,2
ESS10e03_3,02.12.2025,55667,5,GB,2,8,6,5,8,10,7.5,3,8,8
ESS10e03_3,02.12.2025,55671,6,GB,2,4,3,0,4,9,10.0,5,7,8
ESS10e03_3,02.12.2025,55697,7,GB,1,1,6,5,3,10,0.0,5,5,
ESS10e03_3,02.12.2025,55699,3,GB,2,3,6,3,7,8,7.5,5,6,0
ESS10e03_3,02.12.2025,55701,2,GB,2,2,7,1,9,5,7.5,4,9,1
ESS10e03_3,02.12.2025,55709,6,GB,1,3,7,3,9,2,7.5,5,3,8
ESS10e03_3,02.12.2025,55722,5,GB,1,8,6,3,6,0,0.0,10,3,2
ESS10e03_3,02.12.2025,55723,3,GB,2,2,2,1,7,8,10.0,,3,2
ESS10e03_3,02.12.2025,55737,7,GB,1,3,9,4,2,3,7.5,,2,0
ESS10e03_3,02.12.2025,55773,5,GB,1,2,1,0,0,3,7.5,5,4,0
ESS10e03_3,02.12.2025,55850,2,GB,1,10,8,7,9,7,10.0,2,9,0
ESS10e03_3,02.12.2025,55965,4,GB,2,4,7,0,8,8,7.5,4,3,3
ESS10e03_3,02.12.2025,56020,7,GB,2,7,8,4,8,8,7.5,3,6,7
ESS10e03_3,02.12.2025,56071,2,GB,1,8,7,2,6,8,5.0,5,8,0
ESS10e03_3,02.12.2025,56127,6,GB,2,5,9,1,9,7,7.5,5,2,2
ESS10e03_3,02.12.2025,56142,3,GB,2,4,7,4,8,10,7.5,8,6,7
ESS10e03_3,02.12.2025,56145,5,GB,1,3,3,1,6,2,10.0,4,6,1
ESS10e03_3,02.12.2025,56152,4,GB,2,6,7,6,8,6,7.5,6,8,4
ESS10e03_3,02.12.2025,56165,7,GB,2,8,7,8,7,7,2.5,8,8,3
ESS10e03_3,02.12.2025,56280,1,GB,2,4,5,2,6,8,7.5,3,9,0
ESS10e03_3,02.12.2025,56302,1,GB,1,2,5,2,5,6,7.5,5,6,0
ESS10e03_3,02.12.2025,56305,2,GB,2,8,8,4,8,10,7.5,5,7,2
ESS10e03_3,02.12.2025,56339,4,GB,1,9,9,6,9,8,7.5,8,8,2
ESS10e03_3,02.12.2025,56419,4,GB,1,5,7,6,8,6,5.0,7,7,2
ESS10e03_3,02.12.2025,56456,5,GB,1,3,1,2,2,7,7.5,5,5,4
ESS10e03_3,02.12.2025,56505,2,GB,1,8,9,5,9,6,7.5,5,7,2
ESS10e03_3,02.12.2025,56559,3,GB,2,7,6,2,8,9,2.5,5,7,0
ESS10e03_3,02.12.2025,56600,6,GB,2,8,9,7,7,9,5.0,7,6,9
ESS10e03_3,02.12.2025,56629,6,GB,2,4,6,1,9,10,10.0,5,10,2
ESS10e03_3,02.12.2025,56641,4,GB,1,7,8,3,8,6,5.0,5,5,0
ESS10e03_3,02.12.2025,56655,4,GB,1,6,7,2,9,5,7.5,6,8,0
ESS10e03_3,02.12.2025,56761,7,GB,2,7,7,6,7,6,5.0,7,5,4
ESS10e03_3,02.12.2025,56767,5,GB,1,8,9,4,9,8,5.0,8,9,10
ESS10e03_3,02.12.2025,56784,4,GB,2,9,9,3,10,7,5.0,7,5,0
ESS10e03_3,02.12.2025,56787,1,GB,2,6,5,4,8,7,7.5,2,9,5
ESS10e03_3,02.12.2025,56794,3,GB,1,7,8,1,9,10,10.0,4,8,0
ESS10e03_3,02.12.2025,56819,7,GB,2,8,8,7,9,1,2.5,7,5,3
ESS10e03_3,02.12.2025,56826,5,GB,2,6,6,2,7,4,10.0,5,5,0
ESS10e03_3,02.12.2025,56901,3,GB,2,4,5,0,6,5,7.5,2,5,2
ESS10e03_3,02.12.2025,56908,6,GB,2,3,9,3,9,7,10.0,5,8,7
ESS10e03_3,02.12.2025,56923,2,GB,1,9,8,5,10,10,7.5,3,9,1
ESS10e03_3,02.12.2025,56964,3,GB,2,7,7,6,9,8,7.5,5,9,4
ESS10e03_3,02.12.2025,56976,4,GB,1,9,10,9,10,10,7.5,5,7,3
ESS10e03_3,02.12.2025,56982,4,GB,1,4,5,0,6,1,7.5,,5,0
ESS10e03_3,02.12.2025,56990,7,GB,2,4,0,0,8,8,5.0,10,6,0
ESS10e03_3,02.12.2025,57009,4,GB,1,2,2,2,5,10,10.0,3,10,5
ESS10e03_3,02.12.2025,57089,6,GB,2,5,7,4,7,7,5.0,,7,3
ESS10e03_3,02.12.2025,57107,3,GB,2,10,7,5,10,10,7.5,5,10,0
ESS10e03_3,02.12.2025,57153,2,GB,1,5,5,3,8,7,10.0,5,5,0
ESS10e03_3,02.12.2025,57175,4,GB,2,7,7,2,3,5,10.0,5,8,7
ESS10e03_3,02.12.2025,57235,6,GB,1,9,9,6,9,9,10.0,3,8,0
ESS10e03_3,02.12.2025,57240,5,GB,2,8,5,3,8,10,7.5,5,10,0
ESS10e03_3,02.12.2025,57250,3,GB,2,8,7,3,7,10,7.5,6,7,9
ESS10e03_3,02.12.2025,57285,5,GB,2,5,6,4,6,8,7.5,5,9,3
ESS10e03_3,02.12.2025,57301,4,GB,1,7,8,6,8,8,10.0,2,8,8
ESS10e03_3,02.12.2025,57303,7,GB,1,9,9,0,9,0,5.0,0,8,0
ESS10e03_3,02.12.2025,57305,4,GB,1,6,6,4,7,9,10.0,8,7,5
ESS10e03_3,02.12.2025,57325,5,GB,1,8,6,2,7,4,7.5,5,6,0
ESS10e03_3,02.12.2025,57355,6,GB,2,4,7,0,9,10,10.0,,10,0
ESS10e03_3,02.12.2025,57366,7,GB,2,8,8,5,5,6,10.0,5,7,5
ESS10e03_3,02.12.2025,57387,6,GB,1,7,7,2,8,6,10.0,4,7,0
ESS10e03_3,02.12.2025,57404,3,GB,2,3,3,3,5,4,10.0,4,3,3
ESS10e03_3,02.12.2025,57511,7,GB,1,5,5,5,5,5,7.5,9,5,5
ESS10e03_3,02.12.2025,57514,6,GB,1,2,4,2,4,8,7.5,5,1,1
ESS10e03_3,02.12.2025,57581,6,GB,1,9,9,3,8,6,7.5,5,8,5
ESS10e03_3,02.12.2025,57674,6,GB,1,8,8,5,8,7,7.5,2,7,5
ESS10e03_3,02.12.2025,57723,5,GB,1,8,7,4,10,10,7.5,5,10,0
ESS10e03_3,02.12.2025,57752,3,GB,2,5,5,2,5,7,7.5,5,5,6
ESS10e03_3,02.12.2025,57770,7,GB,2,8,8,6,8,10,7.5,5,5,6
ESS10e03_3,02.12.2025,57787,7,GB,1,8,8,7,8,4,7.5,4,7,7
ESS10e03_3,02.12.2025,57798,3,GB,1,6,4,6,9,10,7.5,4,8,0
ESS10e03_3,02.12.2025,57819,3,GB,2,8,8,2,9,8,7.5,,8,3
ESS10e03_3,02.12.2025,57826,4,GB,1,9,8,5,8,10,10.0,7,5,7
