name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10002,3,HU,2,9,7,7,8,7,10.0,9,5,4
ESS10e03_3,02.12.2025,10006,4,HU,2,5,5,4,6,10,5.0,5,4,3
ESS10e03_3,02.12.2025,10017,7,HU,2,7,8,7,5,6,7.5,6,4,6
ESS10e03_3,02.12.2025,10018,5,HU,2,7,9,6,10,3,10.0,5,3,3
ESS10e03_3,02.12.2025,10027,4,HU,1,5,5,2,2,8,7.5,6,7,0
ESS10e03_3,02.12.2025,10043,5,HU,1,3,3,3,3,5,7.5,,0,8
ESS10e03_3,02.12.2025,10045,3,HU,1,5,5,3,6,7,5.0,7,5,0
ESS10e03_3,02.12.2025,10048,4,HU,1,7,8,5,4,5,7.5,5,7,2
ESS10e03_3,02.12.2025,10053,4,HU,1,8,8,6,8,5,10.0,6,4,2
ESS10e03_3,02.12.2025,10055,6,HU,2,6,5,4,6,7,7.5,6,6,6
ESS10e03_3,02.12.2025,10062,6,HU,2,5,6,4,8,3,7.5,3,5,6
ESS10e03_3,02.12.2025,10064,6,HU,2,6,7,5,7,10,7.5,9,5,7
ESS10e03_3,02.12.2025,10068,5,HU,2,7,6,7,6,6,10.0,5,6,7
ESS10e03_3,02.12.2025,10071,5,HU,1,7,7,5,5,7,10.0,7,3,7
ESS10e03_3,02.12.2025,10079,5,HU,1,6,6,7,6,6,5.0,7,6,9
ESS10e03_3,02.12.2025,10083,3,HU,2,5,7,6,6,6,5.0,5,6,7
ESS10e03_3,02.12.2025,10090,3,HU,2,6,5,6,5,6,7.5,8,2,1
ESS10e03_3,02.12.2025,10107,5,HU,1,5,6,3,7,5,5.0,5,3,6
ESS10e03_3,02.12.2025,10116,5,HU,2,2,3,2,5,8,7.5,3,6,3
ESS10e03_3,02.12.2025,10120,3,HU,2,5,7,5,6,7,5.0,7,6,8
ESS10e03_3,02.12.2025,10136,2,HU,2,5,6,2,7,4,5.0,,,4
ESS10e03_3,02.12.2025,10145,1,HU,2,6,8,4,10,6,10.0,,4,2
ESS10e03_3,02.12.2025,10156,5,HU,2,4,5,4,5,1,7.5,,5,8
ESS10e03_3,02.12.2025,10173,2,HU,2,6,6,6,8,6,2.5,5,,0
ESS10e03_3,02.12.2025,10180,6,HU,2,9,8,7,8,,10.0,8,2,10
ESS10e03_3,02.12.2025,10183,5,HU,1,5,6,6,6,3,10.0,,2,1
ESS10e03_3,02.12.2025,10186,5,HU,2,3,5,1,5,3,10.0,5,1,2
ESS10e03_3,02.12.2025,10206,6,HU,1,6,7,5,6,9,7.5,6,1,6
ESS10e03_3,02.12.2025,10212,5,HU,2,6,5,5,8,8,7.5,10,6,9
ESS10e03_3,02.12.2025,10219,4,HU,2,3,3,3,6,7,10.0,,3,2
ESS10e03_3,02.12.2025,10220,6,HU,2,7,7,7,7,5,7.5,8,5,2
ESS10e03_3,02.12.2025,10225,4,HU,2,5,6,3,9,6,7.5,4,6,3
ESS10e03_3,02.12.2025,10230,4,HU,2,5,7,5,6,7,10.0,2,6,2
ESS10e03_3,02.12.2025,10245,4,HU,2,,7,,8,6,7.5,4,2,6
ESS10e03_3,02.12.2025,10265,3,HU,1,8,8,7,8,7,10.0,6,4,3
ESS10e03_3,02.12.2025,10268,7,HU,2,5,6,5,6,5,7.5,7,6,6
ESS10e03_3,02.12.2025,10274,6,HU,2,6,8,4,7,5,2.5,6,3,5
ESS10e03_3,02.12.2025,10279,5,HU,2,7,7,6,5,8,7.5,5,5,2
ESS10e03_3,02.12.2025,10292,6,HU,2,9,7,6,6,8,7.5,6,4,6
ESS10e03_3,02.12.2025,10300,3,HU,2,2,2,0,4,7,10.0,5,5,3
ESS10e03_3,02.12.2025,10302,3,HU,2,6,7,8,7,7,7.5,9,2,2
ESS10e03_3,02.12.2025,10313,7,HU,2,3,8,3,4,5,7.5,9,5,5
ESS10e03_3,02.12.2025,10319,7,HU,2,7,8,0,,,10.0,8,1,10
ESS10e03_3,02.12.2025,10322,2,HU,2,7,7,6,7,10,5.0,5,8,8
ESS10e03_3,02.12.2025,10334,6,HU,2,10,10,10,10,8,10.0,10,6,10
ESS10e03_3,02.12.2025,10340,4,HU,2,5,3,5,8,0,7.5,5,5,3
ESS10e03_3,02.12.2025,10348,6,HU,2,6,7,4,8,6,7.5,8,5,6
ESS10e03_3,02.12.2025,10364,5,HU,2,7,8,5,5,8,7.5,10,0,10
ESS10e03_3,02.12.2025,10368,5,HU,1,8,10,9,7,7,5.0,8,2,0
ESS10e03_3,02.12.2025,10380,5,HU,2,4,4,4,8,4,7.5,8,6,0
ESS10e03_3,02.12.2025,10393,6,HU,2,5,10,3,6,5,7.5,5,3,6
ESS10e03_3,02.12.2025,10401,5,HU,1,7,8,4,9,8,7.5,10,4,6
ESS10e03_3,02.12.2025,10404,2,HU,1,6,6,4,8,5,5.0,6,5,4
