name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,50005,4,NL,1,9,8,8,9,8,7.5,2,7,6
ESS10e03_3,02.12.2025,50025,5,NL,2,6,7,4,5,7,7.5,6,5,3
ESS10e03_3,02.12.2025,50059,2,NL,2,9,8,8,10,7,5.0,8,6,7
ESS10e03_3,02.12.2025,50100,2,NL,2,4,7,5,7,6,7.5,4,5,2
ESS10e03_3,02.12.2025,50120,2,NL,1,7,7,4,5,6,2.5,4,3,0
ESS10e03_3,02.12.2025,50169,5,NL,1,9,9,5,9,7,7.5,7,8,1
ESS10e03_3,02.12.2025,50188,2,NL,1,8,7,0,8,2,5.0,8,5,0
ESS10e03_3,02.12.2025,50257,2,NL,1,7,6,7,8,7,7.5,7,6,3
ESS10e03_3,02.12.2025,50309,1,NL,1,9,7,6,9,0,2.5,9,7,0
ESS10e03_3,02.12.2025,50332,5,NL,1,5,6,3,8,8,7.5,,3,0
ESS10e03_3,02.12.2025,50337,7,NL,1,9,9,7,8,9,7.5,6,9,8
ESS10e03_3,02.12.2025,50339,7,NL,1,7,8,6,8,7,7.5,5,5,9
ESS10e03_3,02.12.2025,50340,6,NL,1,7,8,7,9,0,2.5,6,4,3
ESS10e03_3,02.12.2025,50343,2,NL,1,9,7,6,10,4,7.5,3,8,2
ESS10e03_3,02.12.2025,50407,2,NL,2,8,7,6,8,8,7.5,3,7,0
ESS10e03_3,02.12.2025,50449,2,NL,2,9,9,7,9,8,2.5,6,5,1
ESS10e03_3,02.12.2025,50523,2,NL,1,7,8,7,8,5,7.5,6,7,4
ESS10e03_3,02.12.2025,50556,4,NL,2,7,7,7,6,6,5.0,5,5,8
ESS10e03_3,02.12.2025,50567,3,NL,2,8,8,5,8,8,10.0,9,5,6
ESS10e03_3,02.12.2025,50654,2,NL,2,7,7,5,8,10,7.5,0,8,3
ESS10e03_3,02.12.2025,50655,7,NL,2,8,8,7,7,8,7.5,3,6,8
ESS10e03_3,02.12.2025,50672,1,NL,2,6,7,6,8,4,2.5,7,5,2
ESS10e03_3,02.12.2025,50703,6,NL,1,8,8,5,7,8,7.5,6,6,7
ESS10e03_3,02.12.2025,50729,7,NL,2,8,8,8,8,8,5.0,3,6,2
ESS10e03_3,02.12.2025,50781,5,NL,2,6,8,6,7,5,5.0,5,4,0
ESS10e03_3,02.12.2025,50820,2,NL,2,7,8,5,8,5,7.5,3,5,6
ESS10e03_3,02.12.2025,50840,6,NL,2,1,8,5,10,5,7.5,6,5,6
ESS10e03_3,02.12.2025,50841,1,NL,2,8,10,9,7,7,7.5,7,7,1
ESS10e03_3,02.12.2025,50875,5,NL,2,9,8,7,9,9,7.5,2,5,5
ESS10e03_3,02.12.2025,50885,6,NL,2,7,7,7,6,9,10.0,0,7,9
ESS10e03_3,02.12.2025,50895,5,NL,2,5,6,5,6,8,10.0,7,7,2
ESS10e03_3,02.12.2025,50924,6,NL,1,8,8,7,8,7,7.5,3,4,6
ESS10e03_3,02.12.2025,50928,7,NL,2,,8,5,7,7,7.5,2,7,0
ESS10e03_3,02.12.2025,50941,6,NL,2,4,6,3,5,8,10.0,5,7,7
ESS10e03_3,02.12.2025,50959,2,NL,2,4,5,3,4,0,5.0,5,5,0
ESS10e03_3,02.12.2025,50968,4,NL,1,8,8,7,6,5,7.5,6,8,0
ESS10e03_3,02.12.2025,50984,4,NL,1,7,8,7,7,7,5.0,7,8,5
ESS10e03_3,02.12.2025,50989,2,NL,2,8,8,4,9,8,2.5,4,5,0
ESS10e03_3,02.12.2025,51021,4,NL,1,8,7,5,7,8,5.0,7,5,3
ESS10e03_3,02.12.2025,51026,3,NL,1,8,8,7,8,7,7.5,4,5,2
ESS10e03_3,02.12.2025,51032,6,NL,1,7,7,6,8,8,10.0,4,4,3
ESS10e03_3,02.12.2025,51064,5,NL,1,4,5,3,6,3,2.5,6,6,1
ESS10e03_3,02.12.2025,51107,1,NL,2,6,8,5,8,4,7.5,6,7,8
ESS10e03_3,02.12.2025,51190,7,NL,1,0,10,0,7,9,2.5,5,1,5
ESS10e03_3,02.12.2025,51195,4,NL,1,9,8,6,9,8,10.0,3,8,5
ESS10e03_3,02.12.2025,51212,6,NL,1,7,7,6,7,8,7.5,6,6,1
ESS10e03_3,02.12.2025,51269,2,NL,1,8,8,7,9,3,7.5,6,6,1
ESS10e03_3,02.12.2025,51279,3,NL,2,8,9,7,8,8,7.5,5,7,7
ESS10e03_3,02.12.2025,51283,2,NL,1,2,3,0,2,8,2.5,7,5,0
ESS10e03_3,02.12.2025,51301,2,NL,2,9,8,6,8,10,7.5,5,,6
ESS10e03_3,02.12.2025,51311,4,NL,2,3,4,2,,,2.5,,,0
ESS10e03_3,02.12.2025,51313,2,NL,1,10,8,2,8,4,2.5,3,6,0
