name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,10019,IT,3,9,1,8,,5.0,6,7
ESS10e03_3,2122025,10027,IT,1,4,0,8,5,7.5,5,10
ESS10e03_3,2122025,10038,IT,0,7,0,6,8,7.5,5,7
ESS10e03_3,2122025,10045,IT,5,5,1,8,6,7.5,2,2
ESS10e03_3,2122025,10053,IT,8,8,3,6,,2.5,3,6
ESS10e03_3,2122025,10057,IT,5,8,2,10,4,7.5,8,8
ESS10e03_3,2122025,10061,IT,4,4,0,6,,2.5,5,2
ESS10e03_3,2122025,10064,IT,6,8,4,8,3,7.5,8,7
ESS10e03_3,2122025,10065,IT,1,6,2,5,10,10.0,2,4
ESS10e03_3,2122025,10073,IT,8,5,1,8,6,7.5,4,2
ESS10e03_3,2122025,10077,IT,4,5,0,5,1,7.5,0,6
ESS10e03_3,2122025,10079,IT,7,7,7,10,2,7.5,9,7
ESS10e03_3,2122025,10081,IT,7,7,2,9,2,10.0,7,9
ESS10e03_3,2122025,10088,IT,6,6,2,10,2,7.5,8,10
ESS10e03_3,2122025,10090,IT,3,8,2,5,6,7.5,6,6
ESS10e03_3,2122025,10093,IT,6,6,0,3,5,7.5,5,8
ESS10e03_3,2122025,10094,IT,5,6,5,6,,10.0,8,5
ESS10e03_3,2122025,10095,IT,6,8,3,8,7,7.5,5,7
ESS10e03_3,2122025,10107,IT,10,9,5,10,3,7.5,8,10
ESS10e03_3,2122025,10114,IT,3,8,2,6,8,5.0,4,7
ESS10e03_3,2122025,10130,IT,7,8,7,7,,7.5,5,6
ESS10e03_3,2122025,10136,IT,7,6,3,7,3,7.5,3,6
ESS10e03_3,2122025,10145,IT,8,8,6,8,5,2.5,2,7
ESS10e03_3,2122025,10149,IT,5,7,2,8,10,7.5,6,3
ESS10e03_3,2122025,10156,IT,4,1,0,8,,10.0,,3
ESS10e03_3,2122025,10183,IT,6,8,5,8,10,7.5,6,0
ESS10e03_3,2122025,10185,IT,10,9,8,10,,7.5,8,8
ESS10e03_3,2122025,10186,IT,7,7,4,8,,10.0,7,8
ESS10e03_3,2122025,10193,IT,6,6,5,7,4,10.0,7,5
ESS10e03_3,2122025,10206,IT,4,6,4,9,6,7.5,5,10
ESS10e03_3,2122025,10212,IT,0,0,0,0,10,0.0,8,0
ESS10e03_3,2122025,10213,IT,5,9,4,9,5,7.5,3,8
ESS10e03_3,2122025,10215,IT,5,5,4,5,8,10.0,4,3
ESS10e03_3,2122025,10219,IT,7,8,3,8,6,10.0,4,7
ESS10e03_3,2122025,10220,IT,6,9,5,6,,7.5,3,6
ESS10e03_3,2122025,10223,IT,7,10,6,8,10,10.0,,8
ESS10e03_3,2122025,10225,IT,6,6,4,5,8,7.5,3,4
ESS10e03_3,2122025,10230,IT,8,8,6,9,3,7.5,,7
ESS10e03_3,2122025,10249,IT,,7,5,9,4,5.0,2,5
ESS10e03_3,2122025,10251,IT,8,9,4,8,7,7.5,5,7
ESS10e03_3,2122025,10263,IT,8,10,3,9,5,10.0,10,4
ESS10e03_3,2122025,10268,IT,0,,0,,,5.0,7,
ESS10e03_3,2122025,10279,IT,0,5,2,10,10,10.0,0,9
ESS10e03_3,2122025,10280,IT,6,7,4,8,6,10.0,5,8
ESS10e03_3,2122025,10283,IT,3,7,3,7,4,7.5,5,8
ESS10e03_3,2122025,10292,IT,6,7,2,6,8,10.0,7,7
ESS10e03_3,2122025,10297,IT,5,5,4,7,5,7.5,6,7
ESS10e03_3,2122025,10300,IT,5,6,2,9,,7.5,5,5
ESS10e03_3,2122025,10302,IT,6,7,6,7,,7.5,8,7
ESS10e03_3,2122025,10304,IT,0,1,0,2,,0.0,5,1
ESS10e03_3,2122025,10312,IT,7,7,6,10,5,7.5,8,4
ESS10e03_3,2122025,10313,IT,,6,4,6,,7.5,5,5
ESS10e03_3,2122025,10318,IT,7,7,1,5,5,2.5,5,8
ESS10e03_3,2122025,10320,IT,2,2,2,7,5,7.5,2,6
ESS10e03_3,2122025,10322,IT,5,8,5,7,9,0.0,4,6
ESS10e03_3,2122025,10328,IT,6,7,3,8,4,7.5,9,8
ESS10e03_3,2122025,10333,IT,1,10,1,10,6,10.0,2,4
ESS10e03_3,2122025,10334,IT,8,9,,8,,2.5,8,6
ESS10e03_3,2122025,10337,IT,1,1,2,1,10,2.5,5,4
ESS10e03_3,2122025,10348,IT,,0,0,2,,7.5,2,4
ESS10e03_3,2122025,10364,IT,10,7,8,3,8,10.0,3,10
ESS10e03_3,2122025,10372,IT,7,7,7,7,6,5.0,5,4
ESS10e03_3,2122025,10380,IT,2,5,2,6,6,,2,
ESS10e03_3,2122025,10393,IT,7,8,3,8,7,7.5,4,7
ESS10e03_3,2122025,10397,IT,4,7,3,9,4,7.5,5,7
ESS10e03_3,2122025,10401,IT,4,6,3,4,6,5.0,5,5
ESS10e03_3,2122025,10402,IT,5,7,3,8,4,7.5,7,5
ESS10e03_3,2122025,10404,IT,6,8,4,8,4,7.5,5,6
ESS10e03_3,2122025,10422,IT,2,6,2,7,8,7.5,1,7
ESS10e03_3,2122025,10439,IT,6,7,5,8,3,7.5,6,10
ESS10e03_3,2122025,10441,IT,6,6,6,6,,5.0,5,
ESS10e03_3,2122025,10442,IT,4,7,7,9,0,10.0,6,7
ESS10e03_3,2122025,10457,IT,6,8,3,10,2,10.0,9,10
ESS10e03_3,2122025,10466,IT,7,9,6,10,4,5.0,6,7
ESS10e03_3,2122025,10478,IT,5,8,4,8,4,7.5,5,6
ESS10e03_3,2122025,10485,IT,8,10,1,9,9,10.0,5,8
ESS10e03_3,2122025,10486,IT,5,6,4,7,0,10.0,6,7
ESS10e03_3,2122025,10488,IT,2,3,0,0,,5.0,2,0
ESS10e03_3,2122025,10489,IT,5,5,5,7,6,5.0,6,7
ESS10e03_3,2122025,10491,IT,4,4,2,5,8,7.5,1,8
ESS10e03_3,2122025,10494,IT,8,10,4,8,,10.0,6,6
ESS10e03_3,2122025,10502,IT,4,5,2,6,5,7.5,7,7
ESS10e03_3,2122025,10508,IT,5,6,0,6,3,7.5,5,7
ESS10e03_3,2122025,10513,IT,6,6,6,8,7,7.5,4,3
ESS10e03_3,2122025,10516,IT,5,6,2,7,,10.0,3,8
ESS10e03_3,2122025,10528,IT,8,8,0,9,,7.5,0,0
ESS10e03_3,2122025,10546,IT,7,7,5,7,3,7.5,5,6
ESS10e03_3,2122025,10557,IT,7,6,1,7,,5.0,0,8
ESS10e03_3,2122025,10561,IT,8,8,1,8,,7.5,7,6
ESS10e03_3,2122025,10562,IT,3,8,0,5,5,7.5,4,6
ESS10e03_3,2122025,10572,IT,5,6,1,8,8,7.5,5,5
ESS10e03_3,2122025,10575,IT,3,6,2,8,7,7.5,3,4
ESS10e03_3,2122025,10596,IT,5,6,6,8,7,2.5,4,3
ESS10e03_3,2122025,10601,IT,7,9,0,6,3,7.5,3,5
ESS10e03_3,2122025,10606,IT,8,8,8,8,,7.5,7,4
